subsample,system,ground_truth,GT_source,LEMON_pred,LEMON_%err,our_pred,our_%err
SLACS,J0029-0055,0.96,Bolton et al. 2008 b_SIE,0.986,2.7,0.951,-0.9
SLACS,J0822+2652,1.17,Bolton et al. 2008 b_SIE,2.117,80.9,1.314,12.3
SLACS,J0728+3835,1.25,Bolton et al. 2008 b_SIE,1.718,37.4,1.193,-4.6
SLACS,J1153+4612,1.05,Bolton et al. 2008 b_SIE,2.001,90.6,1.051,0.1
SLACS,J0216-0813,1.16,Bolton et al. 2008 b_SIE,1.71,47.4,1.123,-3.2
SLACS,J1416+5136,1.37,Bolton et al. 2008 b_SIE,1.469,7.2,1.269,-7.4
SLACS,J2341+0000,1.44,Bolton et al. 2008 b_SIE,1.044,-27.5,1.363,-5.3
SLACS,J1525+3327,1.31,Bolton et al. 2008 b_SIE,1.782,36.0,1.326,1.2
SLACS,J0956+5100,1.33,Bolton et al. 2008 b_SIE,1.212,-8.9,1.305,-1.9
SLACS,J1103+5322,1.02,Bolton et al. 2008 b_SIE,1.617,58.5,1.045,2.5
SLACS,J1023+4230,1.41,Bolton et al. 2008 b_SIE,1.916,35.9,1.317,-6.6
SLACS,J0903+4116,1.29,Bolton et al. 2008 b_SIE,2.022,56.7,1.274,-1.2
SLACS,J0841+3824,1.41,Bolton et al. 2008 b_SIE,2.099,48.9,0.85,-39.7
SLACS,J1430+4105,1.52,Bolton et al. 2008 b_SIE,1.522,0.1,1.52,0.0
SLACS,J1630+4520,1.78,Bolton et al. 2008 b_SIE,1.947,9.4,1.424,-20.0
SLACS,J0330-0020,1.1,Bolton et al. 2008 b_SIE,0.687,-37.5,1.094,-0.5
SLACS,J1213+6708,1.42,Bolton et al. 2008 b_SIE,2.179,53.5,1.399,-1.5
SLACS,J0912+0029,1.63,Bolton et al. 2008 b_SIE,1.719,5.5,1.531,-6.1
SLACS,J0737+3216,1.0,Bolton et al. 2008 b_SIE,1.022,2.2,0.981,-1.9
SLACS,J0252+0039,1.04,Bolton et al. 2008 b_SIE,1.025,-1.4,1.016,-2.3
SLACS,J0959+0410,0.99,Bolton et al. 2008 b_SIE,1.133,14.4,1.047,5.8
SLACS,J0946+1006,1.38,Bolton et al. 2008 b_SIE,1.339,-3.0,1.4,1.4
SLACS,J1627-0053,1.23,Bolton et al. 2008 b_SIE,1.415,15.0,1.216,-1.1
SLACS,J1250+0523,1.13,Bolton et al. 2008 b_SIE,1.433,26.8,1.165,3.1
SLACS,J2238-0754,1.27,Bolton et al. 2008 b_SIE,1.533,20.7,1.269,-0.1
SLACS,J1205+4910,1.22,Bolton et al. 2008 b_SIE,1.307,7.1,1.323,8.4
SLACS,J1420+6019,1.04,Bolton et al. 2008 b_SIE,1.101,5.9,1.026,-1.3
SLACS,J2303+1422,1.62,Bolton et al. 2008 b_SIE,1.78,9.9,1.519,-6.2
SLACS,J2300+0022,1.24,Bolton et al. 2008 b_SIE,2.291,84.8,1.233,-0.6
EEL,J0837,0.56,Oldham et al. 2017 Table 2 (power-law+shear),0.604,7.9,0.624,11.4
EEL,J0901,0.67,Oldham et al. 2017 Table 2 (power-law+shear),0.64,-4.5,0.658,-1.8
EEL,J1125,0.86,Oldham et al. 2017 Table 2 (power-law+shear),0.843,-2.0,0.889,3.4
EEL,J1144,0.68,Oldham et al. 2017 Table 2 (power-law+shear),0.87,27.9,0.646,-5.0
EEL,J1218,0.68,Oldham et al. 2017 Table 2 (power-law+shear),0.621,-8.7,0.705,3.7
EEL,J1323,0.31,Oldham et al. 2017 Table 2 (power-law+shear),0.585,88.7,1.028,231.6
EEL,J1347,0.43,Oldham et al. 2017 Table 2 (power-law+shear),0.485,12.8,0.461,7.2
EEL,J1446,0.43,Oldham et al. 2017 Table 2 (power-law+shear),0.503,17.0,0.458,6.5
EEL,J1605,0.64,Oldham et al. 2017 Table 2 (power-law+shear),0.669,4.5,0.679,6.1
EEL,J1606,0.52,Oldham et al. 2017 Table 2 (power-law+shear),0.706,35.8,0.534,2.7
EEL,J1619,0.5,Oldham et al. 2017 Table 2 (power-law+shear),0.546,9.2,0.53,6.0
EEL,J2228,0.6,Oldham et al. 2017 Table 2 (power-law+shear),0.756,26.0,0.595,-0.8
COSMOS,0012+2015,0.67,Faure et al. 2008 Table 4 (Lenstool Erad),2.496,272.5,0.703,4.9
COSMOS,0038+4133,0.73,Faure et al. 2008 Table 4 (Lenstool Erad),0.643,-11.9,0.481,-34.1
COSMOS,0047+5023,1.41,Faure et al. 2008 Table 4 (Lenstool Erad),2.032,44.1,0.486,-65.5
COSMOS,0211+1139,3.14,Faure et al. 2008 Table 4 (Lenstool Erad),2.727,-13.2,0.51,-83.8
COSMOS,5921+0638,0.7,Faure et al. 2008 Table 4 (Lenstool Erad),0.547,-21.9,0.587,-16.1
