subsample,system,gt_theta_E_arcsec,gt_convention,gt_source,status_notes
EEL,J0837,0.56,power-law + external shear,Oldham et al. 2017 Table 2,CONFIRMED member (13 = full EELs sample); full coords from their Table 1 at fetch time
EEL,J0901,0.67,power-law + external shear,Oldham et al. 2017 Table 2,CONFIRMED member (13 = full EELs sample); full coords from their Table 1 at fetch time
EEL,J0913,0.42,power-law + external shear,Oldham et al. 2017 Table 2,CONFIRMED member (13 = full EELs sample); full coords from their Table 1 at fetch time
EEL,J1125,0.86,power-law + external shear,Oldham et al. 2017 Table 2,CONFIRMED member (13 = full EELs sample); full coords from their Table 1 at fetch time
EEL,J1144,0.68,power-law + external shear,Oldham et al. 2017 Table 2,CONFIRMED member (13 = full EELs sample); full coords from their Table 1 at fetch time
EEL,J1218,0.68,power-law + external shear,Oldham et al. 2017 Table 2,CONFIRMED member (13 = full EELs sample); full coords from their Table 1 at fetch time
EEL,J1323,0.31,power-law + external shear,Oldham et al. 2017 Table 2,CONFIRMED member (13 = full EELs sample); full coords from their Table 1 at fetch time
EEL,J1347,0.43,power-law + external shear,Oldham et al. 2017 Table 2,CONFIRMED member (13 = full EELs sample); full coords from their Table 1 at fetch time
EEL,J1446,0.43,power-law + external shear,Oldham et al. 2017 Table 2,CONFIRMED member (13 = full EELs sample); full coords from their Table 1 at fetch time
EEL,J1605,0.64,power-law + external shear,Oldham et al. 2017 Table 2,CONFIRMED member (13 = full EELs sample); full coords from their Table 1 at fetch time
EEL,J1606,0.52,power-law + external shear,Oldham et al. 2017 Table 2,CONFIRMED member (13 = full EELs sample); full coords from their Table 1 at fetch time
EEL,J1619,0.5,power-law + external shear,Oldham et al. 2017 Table 2,CONFIRMED member (13 = full EELs sample); full coords from their Table 1 at fetch time
EEL,J2228,0.6,power-law + external shear,Oldham et al. 2017 Table 2,CONFIRMED member (13 = full EELs sample); full coords from their Table 1 at fetch time
COSMOS-cand,COSMOS 0012+2015,0.67,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 0018+3845,1.32,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 0038+4133,0.73,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
