lens,bSIE_GT,cnn_thetaE,cnn_sigma,cnn_fracerr_pct,tinylens_median,tinylens_lo9973,tinylens_hi9973,tinylens_fracerr_pct
J0008-0004,1.160,1.188,0.086,+2.4,1.300,1.253,1.337,+12.0
J0029-0055,0.960,0.933,0.023,-2.8,0.945,0.941,0.948,-1.6
J0037-0942,1.530,1.475,0.208,-3.6,1.512,1.483,1.541,-1.2
J0044+0113,0.790,1.068,0.030,+35.2,0.740,0.728,0.752,-6.3
J0109+1500,0.690,0.885,0.160,+28.2,0.791,0.746,0.828,+14.6
J0157-0056,0.790,0.936,0.149,+18.4,1.073,1.045,1.098,+35.8
J0216-0813,1.160,1.154,0.085,-0.5,1.139,1.117,1.160,-1.8
J0252+0039,1.040,1.012,0.012,-2.7,1.031,1.028,1.033,-0.9
J0330-0020,1.100,0.808,0.154,-26.5,1.079,1.060,1.098,-1.9
J0405-0455,0.800,0.635,0.148,-20.7,0.536,0.513,0.559,-33.0
J0728+3835,1.250,1.281,0.034,+2.5,1.200,1.187,1.212,-4.0
J0737+3216,1.000,0.969,0.022,-3.1,0.968,0.966,0.971,-3.2
J0822+2652,1.170,1.272,0.056,+8.7,1.339,1.302,1.368,+14.4
J0841+3824,1.410,0.841,0.304,-40.4,0.300,0.300,0.302,-78.7
J0903+4116,1.290,1.284,0.033,-0.5,1.296,1.285,1.307,+0.5
J0912+0029,1.630,1.556,0.079,-4.5,1.613,1.589,1.639,-1.1
J0935-0003,0.870,1.031,0.109,+18.5,0.653,0.620,0.697,-25.0
J0936+0913,1.090,1.228,0.267,+12.7,1.616,1.574,1.638,+48.3
J0946+1006,1.380,1.398,0.020,+1.3,1.404,1.403,1.406,+1.8
J0955+0101,0.910,0.810,0.128,-11.0,0.726,0.711,0.741,-20.3
J0956+5100,1.330,1.361,0.048,+2.3,1.306,1.303,1.308,-1.8
J0959+0410,0.990,1.179,0.061,+19.1,1.112,1.110,1.114,+12.3
J0959+4416,0.960,0.883,0.084,-8.1,1.067,1.045,1.092,+11.1
J1016+3859,1.090,0.947,0.173,-13.1,3.140,3.030,3.253,+188.1
J1020+1122,1.200,1.163,0.059,-3.1,1.116,1.102,1.132,-7.0
J1023+4230,1.410,1.347,0.033,-4.5,1.503,1.495,1.511,+6.6
J1029+0420,1.010,1.010,0.202,-0.0,2.023,1.974,2.071,+100.3
J1032+5322,1.030,0.751,0.163,-27.1,0.872,0.867,0.876,-15.3
J1100+5329,1.520,1.727,0.054,+13.6,1.405,1.353,1.449,-7.5
J1103+5322,1.020,1.021,0.091,+0.1,1.060,1.050,1.071,+4.0
J1106+5228,1.230,1.287,0.060,+4.6,1.238,1.232,1.245,+0.7
J1112+0826,1.490,1.053,0.287,-29.4,1.442,1.398,1.486,-3.2
J1134+6027,1.100,1.963,0.190,+78.5,1.016,0.974,1.046,-7.6
J1142+1001,0.980,0.885,0.216,-9.6,0.597,0.574,0.619,-39.1
J1143-0144,1.680,1.997,0.065,+18.9,1.682,1.676,1.687,+0.1
J1153+4612,1.050,1.107,0.070,+5.4,2.615,2.582,2.647,+149.0
J1204+0358,1.310,1.337,0.040,+2.0,1.295,1.279,1.310,-1.2
J1205+4910,1.220,1.238,0.168,+1.4,0.917,0.915,0.918,-24.9
J1213+6708,1.420,1.571,0.179,+10.6,1.406,1.392,1.417,-1.0
J1218+0830,1.450,1.786,0.068,+23.2,1.612,1.596,1.629,+11.2
J1250+0523,1.130,1.182,0.026,+4.6,1.146,1.137,1.154,+1.4
J1251-0208,0.840,1.596,0.191,+90.0,0.768,0.755,0.784,-8.5
J1402+6321,1.350,1.128,0.170,-16.4,1.368,1.358,1.381,+1.3
J1403+0006,0.830,0.918,0.072,+10.7,0.587,0.565,0.610,-29.2
J1416+5136,1.370,1.519,0.163,+10.9,1.440,1.429,1.451,+5.1
J1420+6019,1.040,1.043,0.028,+0.3,1.104,1.101,1.107,+6.2
J1430+4105,1.520,1.583,0.063,+4.2,1.462,1.459,1.465,-3.8
J1432+6317,1.260,1.944,0.094,+54.3,1.304,1.292,1.318,+3.5
J1436-0000,1.120,1.186,0.119,+5.9,1.078,1.052,1.103,-3.7
J1443+0304,0.810,0.727,0.061,-10.2,0.861,0.839,0.887,+6.2
J1451-0239,1.040,0.998,0.184,-4.1,2.757,2.485,3.045,+165.1
J1525+3327,1.310,1.716,0.057,+31.0,1.286,1.254,1.314,-1.8
J1531-0105,1.710,1.756,0.060,+2.7,1.702,1.687,1.719,-0.4
J1538+5817,1.000,1.046,0.034,+4.6,0.798,0.753,0.935,-20.2
J1621+3931,1.290,1.259,0.035,-2.4,1.250,1.229,1.271,-3.1
J1627-0053,1.230,1.234,0.016,+0.3,1.214,1.211,1.217,-1.3
J1630+4520,1.780,1.803,0.055,+1.3,1.755,1.741,1.770,-1.4
J1636+4707,1.090,0.921,0.109,-15.5,0.949,0.923,0.959,-12.9
J2238-0754,1.270,1.256,0.021,-1.1,1.387,1.379,1.394,+9.2
J2300+0022,1.240,1.224,0.030,-1.3,1.244,1.229,1.259,+0.3
J2303+1422,1.620,1.369,0.117,-15.5,0.773,0.739,0.803,-52.3
J2321-0939,1.600,1.638,0.025,+2.3,1.479,1.462,1.496,-7.6
J2341+0000,1.440,1.350,0.031,-6.3,1.379,1.375,1.383,-4.2
