name,survey,theta_E_pub,prom_native,prom_euclid,frac_euc_v3_inc@euclid,frac_euc_v3_res@euclid,frac_hyb_v2@native,frac_m3@native,frac_paltas_v1@native,frac_pathb_ens@native,frac_pathb_inc@native,frac_pathb_res@native,frac_sel_ens@euclid,frac_sel_inc@euclid,frac_sel_res@euclid,frac_v3_inc@native,frac_v3_res@native,fail_euc_v3_inc@euclid,fail_euc_v3_res@euclid,fail_hyb_v2@native,fail_m3@native,fail_paltas_v1@native,fail_pathb_ens@native,fail_pathb_inc@native,fail_pathb_res@native,fail_sel_ens@euclid,fail_sel_inc@euclid,fail_sel_res@euclid,fail_v3_inc@native,fail_v3_res@native,nfail_native_cur,nfail_euclid_cur,excluded
J0008-0004,SLACS,1.159999966621399,0.0,0.0,0.020000000000000094,0.01534482758620693,-0.2109482758620689,0.21663793103448284,-0.023620689655172302,0.024008620689655306,0.039396551724137994,0.008620689655172422,0.019310344827586187,0.02103448275862067,0.0175862068965517,-0.013620689655172255,-0.059137931034482755,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J0029-0055,SLACS,0.9599999785423279,250.0188284495167,231.8823462991142,0.018958333333333327,-0.0015624999999999437,0.010624999999999987,-0.02906249999999992,0.02364583333333339,-0.02822916666666668,-0.04583333333333326,-0.010624999999999987,-0.024687499999999942,-0.012500000000000011,-0.03687499999999999,-0.005937499999999925,0.004479166666666752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J0037-0942,SLACS,1.5299999713897705,112.00557315270653,96.98225531794087,0.11130718954248359,0.11653594771241824,-0.3312418300653594,-0.48124183006535953,0.01078431372549017,-0.0359150326797386,0.08490196078431367,-0.15673202614379086,-0.05663398692810465,-0.018627450980392136,-0.09464052287581702,0.019999999999999973,0.0750326797385621,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
J0044+0113,SLACS,0.7900000214576721,141.02932548307902,128.82893400347646,0.27518987341772155,0.2951898734177216,0.08253164556962016,0.740506329113924,0.2779746835443038,0.3524050632911392,0.37227848101265826,0.33253164556962017,0.35797468354430373,0.37202531645569625,0.3439240506329114,0.18772151898734174,0.1448101265822784,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,False
J0109+1500,SLACS,0.6899999976158142,28.6261123959859,17.26973846509792,0.978840579710145,0.9804347826086959,0.31695652173913047,0.11521739130434785,0.4926086956521741,0.2823188405797103,0.420144927536232,0.14449275362318842,0.2548550724637682,0.2859420289855073,0.22376811594202914,0.5527536231884058,0.612753623188406,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,False
J0157-0056,SLACS,0.7900000214576721,62.02648779894048,48.89332059575333,0.1163291139240506,0.18746835443037976,0.17696202531645558,-0.010632911392405157,0.1537974683544303,0.18430379746835437,0.16354430379746832,0.2050632911392404,0.3162025316455696,0.27101265822784804,0.36139240506329096,0.025063291139240416,0.18405063291139237,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,False
J0216-0813,SLACS,1.159999966621399,66.72008336153931,65.26489809788428,0.31086206896551727,0.16,0.04068965517241391,-0.28706896551724137,0.029741379310344807,-0.005172413793103453,-0.00879310344827585,-0.001551724137931055,0.06620689655172413,0.07982758620689658,0.05258620689655187,0.3009482758620691,0.0691379310344828,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
J0252+0039,SLACS,1.0399999618530273,207.45686005300777,147.1306453248539,-0.060865384615384634,-0.03894230769230767,-0.020096153846153982,-0.021153846153846172,-0.05326923076923077,-0.026923076923076945,-0.041923076923077,-0.01192307692307689,-0.015528846153846258,-0.02317307692307693,-0.00788461538461537,-0.06221153846153855,-0.05711538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J0330-0020,SLACS,1.100000023841858,236.20057432891824,197.71995970132784,-0.0129090909090909,-0.010818181818181836,-0.0731818181818182,-0.10727272727272735,-0.15963636363636372,-0.26509090909090915,-0.26618181818181824,-0.26400000000000007,-0.17177272727272733,-0.16709090909090915,-0.17645454545454548,-0.01581818181818189,-0.03045454545454553,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,False
J0405-0455,SLACS,0.800000011920929,607.7926982653948,456.80241548522235,0.423625,-0.26825,0.04187499999999997,0.9003749999999999,0.16324999999999992,-0.20681250000000012,-0.24037500000000003,-0.17325000000000007,0.049374999999999836,0.3619999999999998,-0.26325,-0.12300000000000005,-0.3375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,False
