subsample,system,ground_truth_theta_E,GT_source,LEMON_pred_theta_E,our_pred_theta_E
SLACS,J0029-0055,0.96,Bolton 2008 b_SIE,0.986,0.951
SLACS,J0216-0813,1.16,Bolton 2008 b_SIE,1.71,1.123
SLACS,J0252+0039,1.04,Bolton 2008 b_SIE,1.025,1.016
SLACS,J0330-0020,1.1,Bolton 2008 b_SIE,0.687,1.094
SLACS,J0728+3835,1.25,Bolton 2008 b_SIE,1.718,1.193
SLACS,J0737+3216,1.0,Bolton 2008 b_SIE,1.022,0.981
SLACS,J0822+2652,1.17,Bolton 2008 b_SIE,2.117,1.314
SLACS,J0841+3824,1.41,Bolton 2008 b_SIE,2.099,0.85
SLACS,J0903+4116,1.29,Bolton 2008 b_SIE,2.022,1.274
SLACS,J0912+0029,1.63,Bolton 2008 b_SIE,1.719,1.531
SLACS,J0946+1006,1.38,Bolton 2008 b_SIE,1.339,1.4
SLACS,J0956+5100,1.33,Bolton 2008 b_SIE,1.212,1.305
SLACS,J0959+0410,0.99,Bolton 2008 b_SIE,1.133,1.047
SLACS,J1023+4230,1.41,Bolton 2008 b_SIE,1.916,1.317
SLACS,J1103+5322,1.02,Bolton 2008 b_SIE,1.617,1.045
SLACS,J1153+4612,1.05,Bolton 2008 b_SIE,2.001,1.051
SLACS,J1205+4910,1.22,Bolton 2008 b_SIE,1.307,1.323
SLACS,J1213+6708,1.42,Bolton 2008 b_SIE,2.179,1.399
SLACS,J1250+0523,1.13,Bolton 2008 b_SIE,1.433,1.165
SLACS,J1416+5136,1.37,Bolton 2008 b_SIE,1.469,1.269
SLACS,J1420+6019,1.04,Bolton 2008 b_SIE,1.101,1.026
SLACS,J1430+4105,1.52,Bolton 2008 b_SIE,1.522,1.52
SLACS,J1525+3327,1.31,Bolton 2008 b_SIE,1.782,1.326
SLACS,J1627-0053,1.23,Bolton 2008 b_SIE,1.415,1.216
SLACS,J1630+4520,1.78,Bolton 2008 b_SIE,1.947,1.424
SLACS,J2238-0754,1.27,Bolton 2008 b_SIE,1.533,1.269
SLACS,J2300+0022,1.24,Bolton 2008 b_SIE,2.291,1.233
SLACS,J2303+1422,1.62,Bolton 2008 b_SIE,1.78,1.519
SLACS,J2341+0000,1.44,Bolton 2008 b_SIE,1.044,1.363
EEL,J0837,0.56,Oldham 2017 PL+shear,0.604,0.624
EEL,J0901,0.67,Oldham 2017 PL+shear,0.64,0.658
EEL,J1125,0.86,Oldham 2017 PL+shear,0.843,0.889
EEL,J1144,0.68,Oldham 2017 PL+shear,0.87,0.646
EEL,J1218,0.68,Oldham 2017 PL+shear,0.621,0.705
EEL,J1323,0.31,Oldham 2017 PL+shear,0.585,1.028
EEL,J1347,0.43,Oldham 2017 PL+shear,0.485,0.461
EEL,J1446,0.41,Oldham 2017 PL+shear,0.503,0.458
EEL,J1605,0.64,Oldham 2017 PL+shear,0.669,0.679
EEL,J1606,0.52,Oldham 2017 PL+shear,0.706,0.534
EEL,J1619,0.5,Oldham 2017 PL+shear,0.546,0.53
EEL,J2228,0.6,Oldham 2017 PL+shear,0.756,0.595
COSMOS,0012+2015,0.67,Faure 2008 Lenstool,2.496,0.703
COSMOS,0038+4133,0.73,Faure 2008 Lenstool,0.643,0.481
COSMOS,0047+5023,1.41,Faure 2008 Lenstool,2.032,0.486
COSMOS,0211+1139,3.14,Faure 2008 Lenstool,2.727,0.51
COSMOS,5921+0638,0.7,Faure 2008 Lenstool,0.547,0.587
