coord,arc_radius_arcsec,lemon_pred,our_euclid_pred,our_native_pred
001423.02-302109.8,1.52,1.906609631931871,1.3254666666666666,1.4237333333333335
001426.26-302255.9,1.0,0.6805847148325544,0.7454000000000001,0.6955
011018.22+193819.5,3.1,2.4028013637709393,1.0064333333333335,1.0497666666666665
084710.65+344826.4,1.98,1.873518140693483,0.4997,2.2888333333333333
095139.44+684731.2,0.77,2.072016862800042,0.5458,0.6112666666666667
103751.40-124327.5,1.48,1.150288374761433,0.9567666666666667,1.0750333333333333
122332.64-123940.3,0.36,0.7826766359917907,0.5403666666666667,0.6123
130042.73+280523.3,1.08,1.0996099892634508,0.9698666666666668,1.0456333333333332
140237.11+542716.4,1.85,2.1945363900961996,0.7994333333333333,1.4838666666666667
140339.94+541633.3,0.9,1.438830897618368,0.5068333333333334,0.49476666666666663
171817.43+593146.4,2.35,1.8143777310797335,0.7656999999999999,1.2665333333333333
235130.60-261459.7,3.32,1.7123924824156214,0.8363666666666667,0.8034333333333333
