name,theta_E_pred_arcsec,theta_E_pub_arcsec
SDSSJ0143-1006,0.9750,1.2300
SDSSJ0159-0006,0.7266,0.9200
SDSSJ0324+0045,0.5830,0.5500
SDSSJ0324-0110,1.0710,0.6300
SDSSJ0753+3416,1.1759,1.2300
SDSSJ0754+1927,0.5879,1.0400
SDSSJ0757+1956,0.9137,1.6200
SDSSJ0826+5630,1.5169,1.0100
SDSSJ0847+2348,1.0746,0.9600
SDSSJ0851+0505,1.2803,0.9100
SDSSJ0920+3028,0.9215,0.7000
SDSSJ0955+3014,0.5742,0.5400
SDSSJ0956+5539,0.6566,1.1700
SDSSJ1010+3124,0.6470,1.1400
SDSSJ1031+3026,0.7792,0.8800
SDSSJ1040+3626,0.7404,0.5900
SDSSJ1041+0112,0.7713,0.6000
SDSSJ1048+1313,0.6362,1.1800
SDSSJ1051+4439,0.7961,0.9900
SDSSJ1056+4141,0.7825,0.7200
SDSSJ1101+1523,1.0533,1.1800
SDSSJ1116+0729,0.6958,0.8200
SDSSJ1127+2312,0.5833,1.2500
SDSSJ1137+1818,0.6928,1.2900
SDSSJ1142+2509,0.7290,0.7900
SDSSJ1144+0436,0.6235,0.7600
SDSSJ1213+2930,1.2984,1.3500
SDSSJ1301+0834,0.9550,1.0000
SDSSJ1330+1750,0.7056,1.0100
SDSSJ1403+3309,1.1084,1.0200
SDSSJ1430+6104,0.8621,1.0000
SDSSJ1433+2835,1.2868,1.5300
SDSSJ1541+3642,1.0543,1.1700
SDSSJ1543+2202,0.9261,0.7800
SDSSJ1550+2020,0.7616,1.0100
SDSSJ1553+3004,0.9020,0.8400
SDSSJ1607+2147,0.6439,0.5700
SDSSJ1633+1441,0.9488,1.3900
SDSSJ2309-0039,0.9806,1.1400
SDSSJ2324+0105,0.5888,0.5900
