name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
SDSSJ0143-1006,0.6141,1.2300,0.1533
SDSSJ0159-0006,0.8313,0.9200,0.0902
SDSSJ0324+0045,0.5791,0.5500,0.0390
SDSSJ0324-0110,0.5386,0.6300,0.0755
SDSSJ0753+3416,1.1589,1.2300,0.1928
SDSSJ0754+1927,0.9820,1.0400,0.2181
SDSSJ0757+1956,1.1309,1.6200,0.2362
SDSSJ0826+5630,0.4941,1.0100,0.0545
SDSSJ0847+2348,1.0367,0.9600,0.0599
SDSSJ0851+0505,0.7599,0.9100,0.1380
SDSSJ0920+3028,0.6036,0.7000,0.0731
SDSSJ0955+3014,0.4546,0.5400,0.0505
SDSSJ0956+5539,1.1513,1.1700,0.0385
SDSSJ1010+3124,0.7745,1.1400,0.2086
SDSSJ1031+3026,0.8539,0.8800,0.0895
SDSSJ1040+3626,0.6611,0.5900,0.0871
SDSSJ1041+0112,0.5650,0.6000,0.0333
SDSSJ1048+1313,0.6909,1.1800,0.1504
SDSSJ1051+4439,0.8610,0.9900,0.1902
SDSSJ1056+4141,0.5501,0.7200,0.0783
SDSSJ1101+1523,0.8574,1.1800,0.2815
SDSSJ1116+0729,1.1638,0.8200,0.3733
SDSSJ1127+2312,0.8535,1.2500,0.2358
SDSSJ1137+1818,0.7547,1.2900,0.1163
SDSSJ1142+2509,0.5785,0.7900,0.0766
SDSSJ1144+0436,0.7456,0.7600,0.0485
SDSSJ1213+2930,1.2154,1.3500,0.1085
SDSSJ1301+0834,1.2174,1.0000,0.0679
SDSSJ1330+1750,1.1622,1.0100,0.0819
SDSSJ1403+3309,0.9524,1.0200,0.0275
SDSSJ1430+6104,0.9453,1.0000,0.2202
SDSSJ1433+2835,1.5030,1.5300,0.0926
SDSSJ1541+3642,1.0895,1.1700,0.0788
SDSSJ1543+2202,0.9640,0.7800,0.0785
SDSSJ1550+2020,0.8018,1.0100,0.3979
SDSSJ1553+3004,0.9201,0.8400,0.0638
SDSSJ1607+2147,0.7643,0.5700,0.1461
SDSSJ1633+1441,0.7660,1.3900,0.2804
SDSSJ2309-0039,0.8691,1.1400,0.2446
SDSSJ2324+0105,0.5234,0.5900,0.0270
