name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
SDSSJ0143-1006,2.4505,1.2300,0.3323
SDSSJ0159-0006,1.7077,0.9200,0.8871
SDSSJ0324+0045,2.2086,0.5500,0.6562
SDSSJ0324-0110,2.3199,0.6300,0.3126
SDSSJ0753+3416,1.4600,1.2300,0.2841
SDSSJ0754+1927,2.2841,1.0400,0.2799
SDSSJ0757+1956,2.1837,1.6200,0.3532
SDSSJ0826+5630,2.0178,1.0100,0.7100
SDSSJ0847+2348,2.4843,0.9600,0.6364
SDSSJ0851+0505,1.5627,0.9100,1.2189
SDSSJ0920+3028,2.1508,0.7000,0.4564
SDSSJ0955+3014,2.3893,0.5400,0.3279
SDSSJ0956+5539,1.6695,1.1700,0.3848
SDSSJ1010+3124,2.1663,1.1400,0.5493
SDSSJ1031+3026,1.9790,0.8800,0.5389
SDSSJ1040+3626,1.0901,0.5900,0.4055
SDSSJ1041+0112,1.5997,0.6000,0.8271
SDSSJ1048+1313,1.4786,1.1800,0.4716
SDSSJ1051+4439,2.2536,0.9900,0.4480
SDSSJ1056+4141,2.3709,0.7200,0.3403
SDSSJ1101+1523,1.8932,1.1800,0.9781
SDSSJ1116+0729,2.6674,0.8200,0.2702
SDSSJ1127+2312,2.0005,1.2500,0.5285
SDSSJ1137+1818,2.0933,1.2900,0.3688
SDSSJ1142+2509,2.3337,0.7900,0.5468
SDSSJ1144+0436,1.3554,0.7600,0.4706
SDSSJ1213+2930,1.4072,1.3500,0.4345
SDSSJ1301+0834,1.6209,1.0000,0.4133
SDSSJ1330+1750,2.0348,1.0100,0.4580
SDSSJ1403+3309,1.1363,1.0200,0.2463
SDSSJ1430+6104,2.1689,1.0000,0.8929
SDSSJ1433+2835,1.6501,1.5300,0.2075
SDSSJ1541+3642,1.3180,1.1700,0.8930
SDSSJ1543+2202,1.9305,0.7800,0.5046
SDSSJ1550+2020,2.1570,1.0100,0.4862
SDSSJ1553+3004,2.1191,0.8400,0.9061
SDSSJ1607+2147,2.4034,0.5700,0.6130
SDSSJ1633+1441,1.7066,1.3900,1.0821
SDSSJ2309-0039,1.9443,1.1400,0.6791
SDSSJ2324+0105,1.2370,0.5900,0.3767
