name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
SDSSJ0143-1006,0.6739,1.2300,0.1588
SDSSJ0159-0006,0.8498,0.9200,0.0507
SDSSJ0324+0045,0.5709,0.5500,0.0303
SDSSJ0324-0110,0.5278,0.6300,0.0463
SDSSJ0753+3416,1.2201,1.2300,0.1358
SDSSJ0754+1927,1.0047,1.0400,0.1623
SDSSJ0757+1956,0.8365,1.6200,0.3434
SDSSJ0826+5630,0.5019,1.0100,0.0366
SDSSJ0847+2348,1.0294,0.9600,0.0576
SDSSJ0851+0505,0.7461,0.9100,0.1859
SDSSJ0920+3028,0.6028,0.7000,0.0357
SDSSJ0955+3014,0.4934,0.5400,0.0233
SDSSJ0956+5539,1.1471,1.1700,0.0210
SDSSJ1010+3124,0.8316,1.1400,0.1156
SDSSJ1031+3026,0.8794,0.8800,0.0758
SDSSJ1040+3626,0.7240,0.5900,0.1378
SDSSJ1041+0112,0.6001,0.6000,0.0313
SDSSJ1048+1313,0.9923,1.1800,0.1771
SDSSJ1051+4439,0.9638,0.9900,0.2127
SDSSJ1056+4141,0.5459,0.7200,0.0340
SDSSJ1101+1523,0.6997,1.1800,0.2743
SDSSJ1116+0729,0.9726,0.8200,0.1940
SDSSJ1127+2312,0.7516,1.2500,0.2584
SDSSJ1137+1818,0.7295,1.2900,0.0856
SDSSJ1142+2509,0.6426,0.7900,0.0680
SDSSJ1144+0436,0.7837,0.7600,0.0309
SDSSJ1213+2930,1.3180,1.3500,0.1037
SDSSJ1301+0834,1.2225,1.0000,0.1083
SDSSJ1330+1750,1.1673,1.0100,0.0991
SDSSJ1403+3309,0.9665,1.0200,0.0276
SDSSJ1430+6104,0.7899,1.0000,0.2347
SDSSJ1433+2835,1.5452,1.5300,0.0491
SDSSJ1541+3642,1.0194,1.1700,0.1184
SDSSJ1543+2202,0.7547,0.7800,0.0746
SDSSJ1550+2020,0.6952,1.0100,0.2586
SDSSJ1553+3004,0.8730,0.8400,0.0600
SDSSJ1607+2147,0.7416,0.5700,0.0813
SDSSJ1633+1441,0.6780,1.3900,0.2222
SDSSJ2309-0039,1.0183,1.1400,0.1394
SDSSJ2324+0105,0.5429,0.5900,0.0156
