name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
SDSSJ0143-1006,0.8499,1.2300,0.1972
SDSSJ0159-0006,0.8334,0.9200,0.0622
SDSSJ0324+0045,0.5964,0.5500,0.0505
SDSSJ0324-0110,0.7086,0.6300,0.1429
SDSSJ0753+3416,1.2484,1.2300,0.0428
SDSSJ0754+1927,0.9984,1.0400,0.1521
SDSSJ0757+1956,1.2836,1.6200,0.2652
SDSSJ0826+5630,0.4902,1.0100,0.0931
SDSSJ0847+2348,0.9872,0.9600,0.0421
SDSSJ0851+0505,0.7741,0.9100,0.1079
SDSSJ0920+3028,0.6411,0.7000,0.0814
SDSSJ0955+3014,0.5083,0.5400,0.0679
SDSSJ0956+5539,1.1664,1.1700,0.0245
SDSSJ1010+3124,1.2644,1.1400,0.2792
SDSSJ1031+3026,0.8858,0.8800,0.0578
SDSSJ1040+3626,0.7647,0.5900,0.1049
SDSSJ1041+0112,0.5905,0.6000,0.0448
SDSSJ1048+1313,0.9929,1.1800,0.1546
SDSSJ1051+4439,1.0246,0.9900,0.2112
SDSSJ1056+4141,0.5416,0.7200,0.0535
SDSSJ1101+1523,0.9849,1.1800,0.3048
SDSSJ1116+0729,1.3256,0.8200,0.2275
SDSSJ1127+2312,1.0103,1.2500,0.1644
SDSSJ1137+1818,0.8455,1.2900,0.1033
SDSSJ1142+2509,0.7968,0.7900,0.1482
SDSSJ1144+0436,0.7751,0.7600,0.0429
SDSSJ1213+2930,1.3293,1.3500,0.0622
SDSSJ1301+0834,1.2455,1.0000,0.0804
SDSSJ1330+1750,1.1975,1.0100,0.0720
SDSSJ1403+3309,0.9568,1.0200,0.0302
SDSSJ1430+6104,0.9047,1.0000,0.1906
SDSSJ1433+2835,1.5158,1.5300,0.0527
SDSSJ1541+3642,1.0336,1.1700,0.1187
SDSSJ1543+2202,0.9421,0.7800,0.0857
SDSSJ1550+2020,0.9809,1.0100,0.4006
SDSSJ1553+3004,0.8820,0.8400,0.0466
SDSSJ1607+2147,0.7100,0.5700,0.0996
SDSSJ1633+1441,0.8471,1.3900,0.2633
SDSSJ2309-0039,1.0394,1.1400,0.1284
SDSSJ2324+0105,0.5381,0.5900,0.0292
