name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
SDSSJ0143-1006,0.6618,1.2300,0.1262
SDSSJ0159-0006,0.8423,0.9200,0.0545
SDSSJ0324+0045,0.5696,0.5500,0.0460
SDSSJ0324-0110,0.6559,0.6300,0.1328
SDSSJ0753+3416,1.2182,1.2300,0.0951
SDSSJ0754+1927,0.9821,1.0400,0.1740
SDSSJ0757+1956,1.2643,1.6200,0.2549
SDSSJ0826+5630,0.4978,1.0100,0.0603
SDSSJ0847+2348,1.0082,0.9600,0.0435
SDSSJ0851+0505,0.8721,0.9100,0.1548
SDSSJ0920+3028,0.6152,0.7000,0.0479
SDSSJ0955+3014,0.4872,0.5400,0.0333
SDSSJ0956+5539,1.1515,1.1700,0.0174
SDSSJ1010+3124,0.9695,1.1400,0.2749
SDSSJ1031+3026,0.8816,0.8800,0.0401
SDSSJ1040+3626,0.8000,0.5900,0.0831
SDSSJ1041+0112,0.5721,0.6000,0.0432
SDSSJ1048+1313,1.0072,1.1800,0.1446
SDSSJ1051+4439,1.0949,0.9900,0.1828
SDSSJ1056+4141,0.5604,0.7200,0.0348
SDSSJ1101+1523,1.0937,1.1800,0.2240
SDSSJ1116+0729,1.0538,0.8200,0.1558
SDSSJ1127+2312,1.0054,1.2500,0.1519
SDSSJ1137+1818,0.7818,1.2900,0.0861
SDSSJ1142+2509,0.6889,0.7900,0.0930
SDSSJ1144+0436,0.7618,0.7600,0.0288
SDSSJ1213+2930,1.2755,1.3500,0.0764
SDSSJ1301+0834,1.1981,1.0000,0.0509
SDSSJ1330+1750,1.1674,1.0100,0.0613
SDSSJ1403+3309,0.9529,1.0200,0.0315
SDSSJ1430+6104,1.0125,1.0000,0.1932
SDSSJ1433+2835,1.5203,1.5300,0.0398
SDSSJ1541+3642,1.0310,1.1700,0.1236
SDSSJ1543+2202,1.0372,0.7800,0.0542
SDSSJ1550+2020,0.8362,1.0100,0.2885
SDSSJ1553+3004,0.8585,0.8400,0.0518
SDSSJ1607+2147,0.6878,0.5700,0.0886
SDSSJ1633+1441,0.8744,1.3900,0.2374
SDSSJ2309-0039,1.0173,1.1400,0.0873
SDSSJ2324+0105,0.5411,0.5900,0.0238
