name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
SDSSJ0143-1006,0.6794,1.2300,0.1356
SDSSJ0159-0006,0.8708,0.9200,0.0579
SDSSJ0324+0045,0.5806,0.5500,0.0458
SDSSJ0324-0110,0.6852,0.6300,0.1662
SDSSJ0753+3416,1.2273,1.2300,0.0877
SDSSJ0754+1927,0.9933,1.0400,0.1879
SDSSJ0757+1956,1.2010,1.6200,0.3227
SDSSJ0826+5630,0.4727,1.0100,0.0390
SDSSJ0847+2348,1.0088,0.9600,0.0387
SDSSJ0851+0505,0.8444,0.9100,0.1410
SDSSJ0920+3028,0.6129,0.7000,0.0497
SDSSJ0955+3014,0.4804,0.5400,0.0339
SDSSJ0956+5539,1.1587,1.1700,0.0177
SDSSJ1010+3124,1.1120,1.1400,0.4172
SDSSJ1031+3026,0.8881,0.8800,0.0457
SDSSJ1040+3626,0.8002,0.5900,0.0857
SDSSJ1041+0112,0.5935,0.6000,0.0434
SDSSJ1048+1313,1.0054,1.1800,0.1392
SDSSJ1051+4439,1.1067,0.9900,0.1845
SDSSJ1056+4141,0.5506,0.7200,0.0375
SDSSJ1101+1523,1.0683,1.1800,0.2703
SDSSJ1116+0729,1.0765,0.8200,0.1480
SDSSJ1127+2312,0.9342,1.2500,0.1584
SDSSJ1137+1818,0.7616,1.2900,0.0770
SDSSJ1142+2509,0.6851,0.7900,0.1099
SDSSJ1144+0436,0.7661,0.7600,0.0298
SDSSJ1213+2930,1.3101,1.3500,0.0708
SDSSJ1301+0834,1.2048,1.0000,0.0603
SDSSJ1330+1750,1.1767,1.0100,0.0662
SDSSJ1403+3309,0.9587,1.0200,0.0327
SDSSJ1430+6104,1.0346,1.0000,0.2064
SDSSJ1433+2835,1.5385,1.5300,0.0356
SDSSJ1541+3642,1.0256,1.1700,0.1230
SDSSJ1543+2202,0.9672,0.7800,0.0539
SDSSJ1550+2020,0.8472,1.0100,0.3441
SDSSJ1553+3004,0.8634,0.8400,0.0468
SDSSJ1607+2147,0.6963,0.5700,0.0805
SDSSJ1633+1441,0.8136,1.3900,0.2468
SDSSJ2309-0039,1.0520,1.1400,0.0798
SDSSJ2324+0105,0.5433,0.5900,0.0264
