name,theta_E_pred_arcsec,theta_E_pub_arcsec
SDSSJ0143-1006,1.6974,1.2300
SDSSJ0159-0006,0.7354,0.9200
SDSSJ0324+0045,0.9383,0.5500
SDSSJ0324-0110,1.4026,0.6300
SDSSJ0753+3416,1.1836,1.2300
SDSSJ0754+1927,0.6283,1.0400
SDSSJ0757+1956,1.1507,1.6200
SDSSJ0826+5630,1.5331,1.0100
SDSSJ0847+2348,1.0982,0.9600
SDSSJ0851+0505,1.3171,0.9100
SDSSJ0920+3028,1.3323,0.7000
SDSSJ0955+3014,0.6391,0.5400
SDSSJ0956+5539,0.6942,1.1700
SDSSJ1010+3124,0.7200,1.1400
SDSSJ1031+3026,0.8077,0.8800
SDSSJ1040+3626,0.7769,0.5900
SDSSJ1041+0112,0.7952,0.6000
SDSSJ1048+1313,0.6656,1.1800
SDSSJ1051+4439,0.9207,0.9900
SDSSJ1056+4141,0.8777,0.7200
SDSSJ1101+1523,1.0719,1.1800
SDSSJ1116+0729,0.8430,0.8200
SDSSJ1127+2312,0.5925,1.2500
SDSSJ1137+1818,0.7048,1.2900
SDSSJ1142+2509,0.7489,0.7900
SDSSJ1144+0436,0.6290,0.7600
SDSSJ1213+2930,1.2773,1.3500
SDSSJ1301+0834,0.9221,1.0000
SDSSJ1330+1750,0.7683,1.0100
SDSSJ1403+3309,1.0412,1.0200
SDSSJ1430+6104,0.8899,1.0000
SDSSJ1433+2835,1.2624,1.5300
SDSSJ1541+3642,1.0996,1.1700
SDSSJ1543+2202,1.0865,0.7800
SDSSJ1550+2020,0.7631,1.0100
SDSSJ1553+3004,1.2626,0.8400
SDSSJ1607+2147,0.6810,0.5700
SDSSJ1633+1441,1.0122,1.3900
SDSSJ2309-0039,1.3693,1.1400
SDSSJ2324+0105,0.6084,0.5900
