name,theta_E_pred_arcsec,theta_E_pub_arcsec
SDSSJ0143-1006,1.4109,1.2300
SDSSJ0159-0006,0.9753,0.9200
SDSSJ0324+0045,0.8352,0.5500
SDSSJ0324-0110,1.1893,0.6300
SDSSJ0753+3416,1.1365,1.2300
SDSSJ0754+1927,1.2542,1.0400
SDSSJ0757+1956,1.5978,1.6200
SDSSJ0826+5630,0.9062,1.0100
SDSSJ0847+2348,1.0131,0.9600
SDSSJ0851+0505,0.9324,0.9100
SDSSJ0920+3028,0.7162,0.7000
SDSSJ0955+3014,1.1692,0.5400
SDSSJ0956+5539,1.1359,1.1700
SDSSJ1010+3124,1.4516,1.1400
SDSSJ1031+3026,0.9286,0.8800
SDSSJ1040+3626,1.1317,0.5900
SDSSJ1041+0112,0.7144,0.6000
SDSSJ1048+1313,1.1299,1.1800
SDSSJ1051+4439,1.1112,0.9900
SDSSJ1056+4141,0.6482,0.7200
SDSSJ1101+1523,1.2013,1.1800
SDSSJ1116+0729,1.1943,0.8200
SDSSJ1127+2312,1.2102,1.2500
SDSSJ1137+1818,1.3418,1.2900
SDSSJ1142+2509,1.0129,0.7900
SDSSJ1144+0436,0.8303,0.7600
SDSSJ1213+2930,1.3482,1.3500
SDSSJ1301+0834,1.2007,1.0000
SDSSJ1330+1750,1.2060,1.0100
SDSSJ1403+3309,0.9452,1.0200
SDSSJ1430+6104,0.9973,1.0000
SDSSJ1433+2835,1.6049,1.5300
SDSSJ1541+3642,1.0670,1.1700
SDSSJ1543+2202,0.9487,0.7800
SDSSJ1550+2020,1.1241,1.0100
SDSSJ1553+3004,1.0659,0.8400
SDSSJ1607+2147,0.9607,0.5700
SDSSJ1633+1441,1.0606,1.3900
SDSSJ2309-0039,0.9971,1.1400
SDSSJ2324+0105,0.6261,0.5900
