name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
SDSSJ0143-1006,1.0578,1.2300,0.2669
SDSSJ0159-0006,0.8378,0.9200,0.0713
SDSSJ0324+0045,0.6314,0.5500,0.0603
SDSSJ0324-0110,0.8007,0.6300,0.1466
SDSSJ0753+3416,1.2057,1.2300,0.1048
SDSSJ0754+1927,1.0624,1.0400,0.2380
SDSSJ0757+1956,1.6059,1.6200,0.1830
SDSSJ0826+5630,0.5003,1.0100,0.0616
SDSSJ0847+2348,0.9994,0.9600,0.0587
SDSSJ0851+0505,0.8633,0.9100,0.1848
SDSSJ0920+3028,0.6146,0.7000,0.0490
SDSSJ0955+3014,0.5140,0.5400,0.0514
SDSSJ0956+5539,1.1667,1.1700,0.0429
SDSSJ1010+3124,1.3839,1.1400,0.3302
SDSSJ1031+3026,0.8665,0.8800,0.0731
SDSSJ1040+3626,0.8324,0.5900,0.1285
SDSSJ1041+0112,0.5999,0.6000,0.0539
SDSSJ1048+1313,1.0622,1.1800,0.1047
SDSSJ1051+4439,1.0736,0.9900,0.1690
SDSSJ1056+4141,0.5599,0.7200,0.0473
SDSSJ1101+1523,1.0303,1.1800,0.2527
SDSSJ1116+0729,1.2118,0.8200,0.2282
SDSSJ1127+2312,1.0281,1.2500,0.2055
SDSSJ1137+1818,0.7898,1.2900,0.0862
SDSSJ1142+2509,0.6702,0.7900,0.0854
SDSSJ1144+0436,0.7910,0.7600,0.0297
SDSSJ1213+2930,1.3040,1.3500,0.0902
SDSSJ1301+0834,1.1896,1.0000,0.0901
SDSSJ1330+1750,1.1593,1.0100,0.0709
SDSSJ1403+3309,0.9485,1.0200,0.0323
SDSSJ1430+6104,0.9936,1.0000,0.2587
SDSSJ1433+2835,1.5443,1.5300,0.0455
SDSSJ1541+3642,1.0901,1.1700,0.1001
SDSSJ1543+2202,0.9438,0.7800,0.0584
SDSSJ1550+2020,0.7977,1.0100,0.2606
SDSSJ1553+3004,0.9128,0.8400,0.0538
SDSSJ1607+2147,0.7452,0.5700,0.1071
SDSSJ1633+1441,0.7905,1.3900,0.2257
SDSSJ2309-0039,0.9443,1.1400,0.1439
SDSSJ2324+0105,0.5377,0.5900,0.0322
