name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
SDSSJ0143-1006,1.0554,1.2300,0.2236
SDSSJ0159-0006,0.9690,0.9200,0.1305
SDSSJ0324+0045,0.5494,0.5500,0.0221
SDSSJ0324-0110,0.6241,0.6300,0.0371
SDSSJ0753+3416,1.2062,1.2300,0.0166
SDSSJ0754+1927,1.2715,1.0400,0.1009
SDSSJ0757+1956,1.6956,1.6200,0.2084
SDSSJ0826+5630,0.9538,1.0100,0.3676
SDSSJ0847+2348,0.6549,0.9600,0.1285
SDSSJ0851+0505,0.8917,0.9100,0.0695
SDSSJ0920+3028,0.6379,0.7000,0.0390
SDSSJ0955+3014,0.5852,0.5400,0.1824
SDSSJ0956+5539,0.7351,1.1700,0.1360
SDSSJ1010+3124,1.6669,1.1400,0.2339
SDSSJ1031+3026,0.9643,0.8800,0.0396
SDSSJ1040+3626,0.6813,0.5900,0.1331
SDSSJ1041+0112,0.6631,0.6000,0.0458
SDSSJ1048+1313,1.2454,1.1800,0.0955
SDSSJ1051+4439,1.1032,0.9900,0.1630
SDSSJ1056+4141,0.6347,0.7200,0.0272
SDSSJ1101+1523,1.2349,1.1800,0.1944
SDSSJ1116+0729,1.4512,0.8200,0.2293
SDSSJ1127+2312,1.0268,1.2500,0.2637
SDSSJ1137+1818,0.9960,1.2900,0.1629
SDSSJ1142+2509,1.8414,0.7900,0.2293
SDSSJ1144+0436,0.8281,0.7600,0.0510
SDSSJ1213+2930,1.3700,1.3500,0.0383
SDSSJ1301+0834,1.1968,1.0000,0.1281
SDSSJ1330+1750,1.0036,1.0100,0.0680
SDSSJ1403+3309,0.9783,1.0200,0.0243
SDSSJ1430+6104,1.1082,1.0000,0.1857
SDSSJ1433+2835,1.5407,1.5300,0.0221
SDSSJ1541+3642,1.0678,1.1700,0.0730
SDSSJ1543+2202,0.7805,0.7800,0.0989
SDSSJ1550+2020,1.4296,1.0100,0.3690
SDSSJ1553+3004,1.3179,0.8400,0.1748
SDSSJ1607+2147,0.6446,0.5700,0.0790
SDSSJ1633+1441,1.1433,1.3900,0.1920
SDSSJ2309-0039,1.2954,1.1400,0.1593
SDSSJ2324+0105,0.5694,0.5900,0.0267
