name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
SDSSJ0143-1006,0.8158,1.2300,0.2820
SDSSJ0159-0006,0.9039,0.9200,0.0674
SDSSJ0324+0045,0.5671,0.5500,0.0306
SDSSJ0324-0110,0.5410,0.6300,0.0742
SDSSJ0753+3416,1.2331,1.2300,0.0198
SDSSJ0754+1927,0.9497,1.0400,0.0523
SDSSJ0757+1956,1.1823,1.6200,0.3237
SDSSJ0826+5630,0.4867,1.0100,0.0471
SDSSJ0847+2348,0.9569,0.9600,0.1278
SDSSJ0851+0505,0.8476,0.9100,0.2687
SDSSJ0920+3028,0.6340,0.7000,0.0458
SDSSJ0955+3014,0.4914,0.5400,0.0327
SDSSJ0956+5539,1.1608,1.1700,0.0256
SDSSJ1010+3124,1.8915,1.1400,0.1481
SDSSJ1031+3026,0.9553,0.8800,0.0439
SDSSJ1040+3626,0.6310,0.5900,0.0866
SDSSJ1041+0112,0.6060,0.6000,0.0344
SDSSJ1048+1313,1.2217,1.1800,0.0790
SDSSJ1051+4439,1.0056,0.9900,0.2096
SDSSJ1056+4141,0.5991,0.7200,0.0296
SDSSJ1101+1523,1.2081,1.1800,0.1309
SDSSJ1116+0729,1.1692,0.8200,0.2781
SDSSJ1127+2312,0.5495,1.2500,0.0465
SDSSJ1137+1818,0.7176,1.2900,0.1235
SDSSJ1142+2509,1.1117,0.7900,0.2848
SDSSJ1144+0436,0.8220,0.7600,0.0611
SDSSJ1213+2930,1.3604,1.3500,0.0272
SDSSJ1301+0834,1.2744,1.0000,0.1375
SDSSJ1330+1750,1.1795,1.0100,0.1050
SDSSJ1403+3309,0.9662,1.0200,0.0258
SDSSJ1430+6104,0.9700,1.0000,0.1981
SDSSJ1433+2835,1.5502,1.5300,0.0225
SDSSJ1541+3642,1.0576,1.1700,0.0819
SDSSJ1543+2202,0.7952,0.7800,0.0580
SDSSJ1550+2020,1.6253,1.0100,0.2960
SDSSJ1553+3004,0.8108,0.8400,0.0949
SDSSJ1607+2147,0.6823,0.5700,0.0922
SDSSJ1633+1441,1.1803,1.3900,0.3188
SDSSJ2309-0039,1.2584,1.1400,0.1018
SDSSJ2324+0105,0.5503,0.5900,0.0149
