name,theta_E_pred_arcsec,theta_E_pub_arcsec
J0008-0004,0.6228,1.1600
J0029-0055,0.9311,0.9600
J0037-0942,0.7664,1.5300
J0044+0113,1.3358,0.7900
J0109+1500,0.7689,0.6900
J0157-0056,0.6656,0.7900
J0216-0813,0.6876,1.1600
J0252+0039,1.0037,1.0400
J0330-0020,0.8907,1.1000
J0405-0455,1.5123,0.8000
J0728+3835,1.0647,1.2500
J0737+3216,1.1587,1.0000
J0822+2652,1.4052,1.1700
J0841+3824,0.5359,1.4100
J0903+4116,0.9071,1.2900
J0912+0029,0.8449,1.6300
J0935-0003,0.6700,0.8700
J0936+0913,0.6624,1.0900
J0946+1006,1.3655,1.3800
J0955+0101,1.8755,0.9100
J0956+5100,1.2392,1.3300
J0959+4416,0.5448,0.9600
J0959+0410,0.7224,0.9900
J1016+3859,0.8269,1.0900
J1020+1122,0.8346,1.2000
J1023+4230,1.3556,1.4100
J1029+0420,1.0945,1.0100
J1032+5322,0.5722,1.0300
J1100+5329,0.7997,1.5200
J1103+5322,1.0559,1.0200
J1106+5228,1.5948,1.2300
J1112+0826,0.7573,1.4900
J1134+6027,1.1883,1.1000
J1142+1001,0.8120,0.9800
J1143-0144,0.9503,1.6800
J1153+4612,1.0041,1.0500
J1204+0358,1.4429,1.3100
J1205+4910,0.7994,1.2200
J1213+6708,0.7144,1.4200
J1218+0830,1.6881,1.4500
J1250+0523,0.7505,1.1300
J1251-0208,0.7716,0.8400
J1402+6321,0.9604,1.3500
J1403+0006,0.7733,0.8300
J1416+5136,1.1243,1.3700
J1420+6019,1.4174,1.0400
J1430+4105,1.5319,1.5200
J1432+6317,1.0309,1.2600
J1436-0000,0.6323,1.1200
J1443+0304,0.9163,0.8100
J1451-0239,0.7033,1.0400
J1525+3327,1.1107,1.3100
J1531-0105,0.7729,1.7100
J1538+5817,0.9409,1.0000
J1621+3931,0.8702,1.2900
J1627-0053,1.0896,1.2300
J1630+4520,0.8897,1.7800
J1636+4707,0.9588,1.0900
J2238-0754,0.9003,1.2700
J2300+0022,0.9170,1.2400
J2303+1422,0.9097,1.6200
J2321-0939,1.0484,1.6000
J2341+0000,1.2993,1.4400
