name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
J0008-0004,0.9638,1.1600,0.2489
J0029-0055,0.9495,0.9600,0.0084
J0037-0942,0.4930,1.5300,0.1196
J0044+0113,0.8181,0.7900,0.1247
J0109+1500,0.7179,0.6900,0.0517
J0157-0056,0.9496,0.7900,0.1081
J0216-0813,1.2707,1.1600,0.1575
J0252+0039,1.0218,1.0400,0.0131
J0330-0020,1.0390,1.1000,0.0461
J0405-0455,0.6874,0.8000,0.1135
J0728+3835,1.2232,1.2500,0.0355
J0737+3216,1.0009,1.0000,0.0385
J0822+2652,0.8646,1.1700,0.1710
J0841+3824,0.4990,1.4100,0.0253
J0903+4116,1.2846,1.2900,0.0226
J0912+0029,1.5378,1.6300,0.0774
J0935-0003,0.6596,0.8700,0.1131
J0936+0913,1.2013,1.0900,0.1191
J0946+1006,1.4020,1.3800,0.0103
J0955+0101,0.5379,0.9100,0.0545
J0956+5100,1.2198,1.3300,0.0476
J0959+4416,0.9941,0.9600,0.0940
J0959+0410,1.0257,0.9900,0.0600
J1016+3859,0.6888,1.0900,0.1100
J1020+1122,1.1365,1.2000,0.0983
J1023+4230,1.4126,1.4100,0.0383
J1029+0420,0.8242,1.0100,0.0775
J1032+5322,0.8773,1.0300,0.2169
J1100+5329,1.6933,1.5200,0.1294
J1103+5322,0.9846,1.0200,0.1165
J1106+5228,1.2148,1.2300,0.0533
J1112+0826,0.7012,1.4900,0.3143
J1134+6027,1.0400,1.1000,0.2760
J1142+1001,0.6584,0.9800,0.1075
J1143-0144,1.1191,1.6800,0.4705
J1153+4612,0.9878,1.0500,0.0316
J1204+0358,1.2424,1.3100,0.1962
J1205+4910,1.2244,1.2200,0.0683
J1213+6708,1.3597,1.4200,0.0470
J1218+0830,1.5963,1.4500,0.1117
J1250+0523,1.0255,1.1300,0.1231
J1251-0208,0.7084,0.8400,0.1316
J1402+6321,1.4180,1.3500,0.1267
J1403+0006,0.7349,0.8300,0.1925
J1416+5136,0.6048,1.3700,0.1227
J1420+6019,1.0618,1.0400,0.0187
J1430+4105,1.5199,1.5200,0.0514
J1432+6317,1.2281,1.2600,0.0613
J1436-0000,0.7468,1.1200,0.1330
J1443+0304,0.8474,0.8100,0.0578
J1451-0239,0.5190,1.0400,0.1285
J1525+3327,1.2258,1.3100,0.1595
J1531-0105,1.6592,1.7100,0.1832
J1538+5817,0.6812,1.0000,0.2135
J1621+3931,1.2002,1.2900,0.1110
J1627-0053,1.2018,1.2300,0.0186
J1630+4520,0.9208,1.7800,0.4685
J1636+4707,0.5172,1.0900,0.0880
J2238-0754,1.0606,1.2700,0.1437
J2300+0022,1.2839,1.2400,0.0904
J2303+1422,1.4631,1.6200,0.1915
J2321-0939,1.5894,1.6000,0.1199
J2341+0000,1.2993,1.4400,0.1729
