name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
J0008-0004,1.0262,1.1600,0.1576
J0029-0055,0.9611,0.9600,0.0081
J0037-0942,2.1665,1.5300,0.2847
J0044+0113,1.6146,0.7900,0.3324
J0109+1500,2.0974,0.6900,0.3841
J0157-0056,1.0589,0.7900,0.1259
J0216-0813,2.1972,1.1600,0.5002
J0252+0039,1.1071,1.0400,0.0599
J0330-0020,1.0448,1.1000,0.0428
J0405-0455,1.5410,0.8000,0.4405
J0728+3835,1.3592,1.2500,0.1296
J0737+3216,1.5805,1.0000,0.4273
J0822+2652,0.9246,1.1700,0.1770
J0841+3824,0.7836,1.4100,0.1099
J0903+4116,1.3042,1.2900,0.0258
J0912+0029,1.6204,1.6300,0.1961
J0935-0003,2.5558,0.8700,0.2931
J0936+0913,2.4358,1.0900,0.5492
J0946+1006,1.3995,1.3800,0.0080
J0955+0101,2.2044,0.9100,0.5876
J0956+5100,1.7030,1.3300,0.2084
J0959+4416,1.3955,0.9600,0.1397
J0959+0410,1.6229,0.9900,0.4074
J1016+3859,1.2180,1.0900,0.3575
J1020+1122,2.0309,1.2000,0.5861
J1023+4230,1.4341,1.4100,0.0337
J1029+0420,0.9367,1.0100,0.0492
J1032+5322,1.0972,1.0300,0.0966
J1100+5329,2.5683,1.5200,0.5746
J1103+5322,1.0910,1.0200,0.0450
J1106+5228,1.4241,1.2300,0.2145
J1112+0826,2.5291,1.4900,0.2911
J1134+6027,2.5893,1.1000,0.1735
J1142+1001,0.8382,0.9800,0.0719
J1143-0144,1.7304,1.6800,0.3298
J1153+4612,0.9878,1.0500,0.0361
J1204+0358,1.8019,1.3100,0.6629
J1205+4910,1.8073,1.2200,0.4939
J1213+6708,1.5876,1.4200,0.1063
J1218+0830,1.6479,1.4500,0.0377
J1250+0523,1.5640,1.1300,0.4805
J1251-0208,2.5086,0.8400,0.7886
J1402+6321,1.3779,1.3500,0.3267
J1403+0006,1.2137,0.8300,0.4773
J1416+5136,1.0460,1.3700,0.2007
J1420+6019,1.4807,1.0400,0.2769
J1430+4105,1.4940,1.5200,0.0487
J1432+6317,1.2608,1.2600,0.0777
J1436-0000,2.2012,1.1200,0.6373
J1443+0304,1.4237,0.8100,0.4213
J1451-0239,1.3282,1.0400,0.7030
J1525+3327,1.3845,1.3100,0.1876
J1531-0105,1.7145,1.7100,0.5654
J1538+5817,1.8250,1.0000,0.4961
J1621+3931,1.8927,1.2900,1.5868
J1627-0053,1.6598,1.2300,0.4444
J1630+4520,2.2696,1.7800,0.7704
J1636+4707,1.9565,1.0900,0.5576
J2238-0754,1.2330,1.2700,0.4769
J2300+0022,1.6799,1.2400,0.3596
J2303+1422,1.9563,1.6200,0.6599
J2321-0939,1.5338,1.6000,0.1589
J2341+0000,1.3460,1.4400,0.0446
