name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
J0008-0004,1.0813,1.1600,0.1858
J0029-0055,0.9600,0.9600,0.0081
J0037-0942,0.7495,1.5300,0.3499
J0044+0113,0.7983,0.7900,0.0697
J0109+1500,0.7560,0.6900,0.0584
J0157-0056,0.9432,0.7900,0.0869
J0216-0813,1.1981,1.1600,0.1226
J0252+0039,1.0196,1.0400,0.0115
J0330-0020,0.9390,1.1000,0.1064
J0405-0455,0.7551,0.8000,0.1406
J0728+3835,1.2696,1.2500,0.0604
J0737+3216,1.0008,1.0000,0.0158
J0822+2652,0.9306,1.1700,0.1032
J0841+3824,0.5061,1.4100,0.0165
J0903+4116,1.2864,1.2900,0.0236
J0912+0029,1.4667,1.6300,0.1025
J0935-0003,0.8185,0.8700,0.0656
J0936+0913,1.2298,1.0900,0.0766
J0946+1006,1.3905,1.3800,0.0082
J0955+0101,0.5678,0.9100,0.0787
J0956+5100,1.2255,1.3300,0.0633
J0959+4416,0.9894,0.9600,0.1407
J0959+0410,1.0068,0.9900,0.0458
J1016+3859,0.6949,1.0900,0.0930
J1020+1122,1.1474,1.2000,0.0652
J1023+4230,1.3810,1.4100,0.0522
J1029+0420,0.9198,1.0100,0.0907
J1032+5322,0.7843,1.0300,0.2321
J1100+5329,1.4611,1.5200,0.2937
J1103+5322,1.0104,1.0200,0.0927
J1106+5228,1.2454,1.2300,0.0382
J1112+0826,0.7256,1.4900,0.3372
J1134+6027,0.8635,1.1000,0.3609
J1142+1001,0.7808,0.9800,0.0730
J1143-0144,0.6915,1.6800,0.3364
J1153+4612,0.9646,1.0500,0.0819
J1204+0358,1.3046,1.3100,0.1162
J1205+4910,1.1890,1.2200,0.0745
J1213+6708,1.3422,1.4200,0.0695
J1218+0830,1.6234,1.4500,0.1088
J1250+0523,1.1531,1.1300,0.1551
J1251-0208,0.5469,0.8400,0.0768
J1402+6321,0.9760,1.3500,0.2416
J1403+0006,0.7676,0.8300,0.1037
J1416+5136,0.5889,1.3700,0.0565
J1420+6019,1.0541,1.0400,0.0287
J1430+4105,1.4197,1.5200,0.1677
J1432+6317,1.1112,1.2600,0.0729
J1436-0000,0.8419,1.1200,0.2149
J1443+0304,0.8211,0.8100,0.0511
J1451-0239,0.5526,1.0400,0.1063
J1525+3327,1.2085,1.3100,0.1399
J1531-0105,1.6326,1.7100,0.1226
J1538+5817,0.8764,1.0000,0.2415
J1621+3931,1.1935,1.2900,0.0542
J1627-0053,1.2200,1.2300,0.0138
J1630+4520,0.8618,1.7800,0.2872
J1636+4707,0.5129,1.0900,0.0394
J2238-0754,1.2133,1.2700,0.0907
J2300+0022,1.2587,1.2400,0.0348
J2303+1422,1.3184,1.6200,0.2645
J2321-0939,1.4770,1.6000,0.2105
J2341+0000,1.2980,1.4400,0.1001
