name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
J0008-0004,1.0155,1.1600,0.1903
J0029-0055,0.9691,0.9600,0.0073
J0037-0942,0.8615,1.5300,0.2609
J0044+0113,0.8552,0.7900,0.1443
J0109+1500,0.7261,0.6900,0.0778
J0157-0056,0.9708,0.7900,0.0852
J0216-0813,1.2992,1.1600,0.1031
J0252+0039,1.0248,1.0400,0.0076
J0330-0020,1.0452,1.1000,0.0554
J0405-0455,0.7415,0.8000,0.0789
J0728+3835,1.2241,1.2500,0.0652
J0737+3216,1.0015,1.0000,0.0244
J0822+2652,0.9735,1.1700,0.2301
J0841+3824,0.4913,1.4100,0.0248
J0903+4116,1.2897,1.2900,0.0240
J0912+0029,1.5451,1.6300,0.0622
J0935-0003,0.8493,0.8700,0.1199
J0936+0913,1.2485,1.0900,0.1143
J0946+1006,1.3978,1.3800,0.0075
J0955+0101,0.5966,0.9100,0.1290
J0956+5100,1.3059,1.3300,0.0384
J0959+4416,1.0721,0.9600,0.0763
J0959+0410,1.0820,0.9900,0.0778
J1016+3859,0.6992,1.0900,0.1022
J1020+1122,1.1543,1.2000,0.0402
J1023+4230,1.4089,1.4100,0.0651
J1029+0420,0.8947,1.0100,0.0741
J1032+5322,1.1111,1.0300,0.1048
J1100+5329,1.7002,1.5200,0.0901
J1103+5322,1.0693,1.0200,0.0579
J1106+5228,1.2858,1.2300,0.0412
J1112+0826,1.1886,1.4900,0.2865
J1134+6027,1.4165,1.1000,0.4393
J1142+1001,0.7707,0.9800,0.0993
J1143-0144,1.1849,1.6800,0.2633
J1153+4612,0.9804,1.0500,0.0362
J1204+0358,1.2534,1.3100,0.1867
J1205+4910,1.2191,1.2200,0.1484
J1213+6708,1.3108,1.4200,0.1199
J1218+0830,1.6516,1.4500,0.0563
J1250+0523,1.1601,1.1300,0.1272
J1251-0208,0.8337,0.8400,0.1895
J1402+6321,1.1222,1.3500,0.2392
J1403+0006,0.7604,0.8300,0.2254
J1416+5136,0.7157,1.3700,0.3388
J1420+6019,1.0737,1.0400,0.0191
J1430+4105,1.5393,1.5200,0.0464
J1432+6317,1.2875,1.2600,0.0697
J1436-0000,0.9874,1.1200,0.1220
J1443+0304,0.8068,0.8100,0.0699
J1451-0239,1.0223,1.0400,0.3171
J1525+3327,1.3214,1.3100,0.1220
J1531-0105,1.7108,1.7100,0.0944
J1538+5817,0.9334,1.0000,0.2186
J1621+3931,1.2184,1.2900,0.0712
J1627-0053,1.2248,1.2300,0.0187
J1630+4520,1.4152,1.7800,0.3879
J1636+4707,0.6083,1.0900,0.0915
J2238-0754,1.2233,1.2700,0.0798
J2300+0022,1.2659,1.2400,0.0345
J2303+1422,1.5519,1.6200,0.0871
J2321-0939,1.6311,1.6000,0.1061
J2341+0000,1.3948,1.4400,0.0385
