name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
J0008-0004,1.0888,1.1600,0.2182
J0029-0055,0.9782,0.9600,0.0088
J0037-0942,1.0671,1.5300,0.1997
J0044+0113,0.8675,0.7900,0.1438
J0109+1500,0.7731,0.6900,0.1483
J0157-0056,0.9139,0.7900,0.0702
J0216-0813,1.2041,1.1600,0.0853
J0252+0039,1.0145,1.0400,0.0119
J0330-0020,1.0302,1.1000,0.0408
J0405-0455,0.7602,0.8000,0.0946
J0728+3835,1.2373,1.2500,0.0658
J0737+3216,0.9875,1.0000,0.0132
J0822+2652,0.9805,1.1700,0.1914
J0841+3824,0.5017,1.4100,0.0212
J0903+4116,1.2859,1.2900,0.0252
J0912+0029,1.5415,1.6300,0.0835
J0935-0003,0.8770,0.8700,0.1479
J0936+0913,1.2149,1.0900,0.0939
J0946+1006,1.3975,1.3800,0.0078
J0955+0101,0.6105,0.9100,0.0767
J0956+5100,1.2534,1.3300,0.0412
J0959+4416,1.1083,0.9600,0.0796
J0959+0410,1.0401,0.9900,0.0443
J1016+3859,0.6208,1.0900,0.0971
J1020+1122,1.1264,1.2000,0.0434
J1023+4230,1.4003,1.4100,0.0447
J1029+0420,0.8593,1.0100,0.0705
J1032+5322,0.9074,1.0300,0.1419
J1100+5329,1.6211,1.5200,0.1428
J1103+5322,1.0481,1.0200,0.0700
J1106+5228,1.2637,1.2300,0.0458
J1112+0826,0.7902,1.4900,0.2204
J1134+6027,0.9819,1.1000,0.1722
J1142+1001,0.7527,0.9800,0.0747
J1143-0144,1.0569,1.6800,0.3292
J1153+4612,1.0023,1.0500,0.0299
J1204+0358,1.2953,1.3100,0.0973
J1205+4910,1.3018,1.2200,0.0720
J1213+6708,1.2456,1.4200,0.0607
J1218+0830,1.5584,1.4500,0.0889
J1250+0523,1.1201,1.1300,0.0791
J1251-0208,0.6431,0.8400,0.1027
J1402+6321,1.0244,1.3500,0.2265
J1403+0006,0.7954,0.8300,0.0911
J1416+5136,0.6441,1.3700,0.1373
J1420+6019,1.0970,1.0400,0.0166
J1430+4105,1.4267,1.5200,0.0770
J1432+6317,1.1632,1.2600,0.0860
J1436-0000,1.0643,1.1200,0.1138
J1443+0304,0.8116,0.8100,0.0382
J1451-0239,0.7381,1.0400,0.2970
J1525+3327,1.2417,1.3100,0.1023
J1531-0105,1.6556,1.7100,0.0926
J1538+5817,1.0882,1.0000,0.2663
J1621+3931,1.2283,1.2900,0.0344
J1627-0053,1.2129,1.2300,0.0116
J1630+4520,1.0401,1.7800,0.3111
J1636+4707,0.5924,1.0900,0.0849
J2238-0754,1.1361,1.2700,0.1212
J2300+0022,1.2538,1.2400,0.0214
J2303+1422,1.5130,1.6200,0.1378
J2321-0939,1.5200,1.6000,0.1022
J2341+0000,1.3770,1.4400,0.0609
