name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
J0008-0004,1.0341,1.1600,0.2161
J0029-0055,0.9805,0.9600,0.0083
J0037-0942,0.9886,1.5300,0.2318
J0044+0113,0.8999,0.7900,0.1292
J0109+1500,0.7504,0.6900,0.1024
J0157-0056,0.9244,0.7900,0.0699
J0216-0813,1.2161,1.1600,0.0840
J0252+0039,1.0172,1.0400,0.0133
J0330-0020,1.0427,1.1000,0.0413
J0405-0455,0.7611,0.8000,0.0990
J0728+3835,1.2389,1.2500,0.0569
J0737+3216,0.9910,1.0000,0.0133
J0822+2652,0.9711,1.1700,0.1964
J0841+3824,0.5026,1.4100,0.0221
J0903+4116,1.2910,1.2900,0.0228
J0912+0029,1.5682,1.6300,0.0822
J0935-0003,0.8404,0.8700,0.1099
J0936+0913,1.2036,1.0900,0.1068
J0946+1006,1.3972,1.3800,0.0077
J0955+0101,0.5970,0.9100,0.0731
J0956+5100,1.2939,1.3300,0.0423
J0959+4416,1.1136,0.9600,0.0778
J0959+0410,1.0724,0.9900,0.0483
J1016+3859,0.6248,1.0900,0.0863
J1020+1122,1.1263,1.2000,0.0469
J1023+4230,1.3840,1.4100,0.0445
J1029+0420,0.8709,1.0100,0.0759
J1032+5322,0.9115,1.0300,0.1422
J1100+5329,1.6552,1.5200,0.1249
J1103+5322,1.0395,1.0200,0.0799
J1106+5228,1.2678,1.2300,0.0532
J1112+0826,0.8242,1.4900,0.2379
J1134+6027,1.0432,1.1000,0.1977
J1142+1001,0.7604,0.9800,0.0955
J1143-0144,1.1926,1.6800,0.3233
J1153+4612,1.0042,1.0500,0.0353
J1204+0358,1.3388,1.3100,0.1090
J1205+4910,1.2964,1.2200,0.0937
J1213+6708,1.2627,1.4200,0.0607
J1218+0830,1.5713,1.4500,0.0811
J1250+0523,1.1462,1.1300,0.0754
J1251-0208,0.6474,0.8400,0.1065
J1402+6321,1.0456,1.3500,0.2306
J1403+0006,0.8051,0.8300,0.1123
J1416+5136,0.6268,1.3700,0.1264
J1420+6019,1.1029,1.0400,0.0175
J1430+4105,1.4417,1.5200,0.0734
J1432+6317,1.1952,1.2600,0.1000
J1436-0000,1.0117,1.1200,0.1510
J1443+0304,0.8257,0.8100,0.0413
J1451-0239,0.8247,1.0400,0.3963
J1525+3327,1.2630,1.3100,0.0989
J1531-0105,1.6739,1.7100,0.0549
J1538+5817,1.0015,1.0000,0.2736
J1621+3931,1.2460,1.2900,0.0343
J1627-0053,1.2259,1.2300,0.0116
J1630+4520,1.1104,1.7800,0.3823
J1636+4707,0.6062,1.0900,0.0988
J2238-0754,1.1845,1.2700,0.1141
J2300+0022,1.2602,1.2400,0.0226
J2303+1422,1.5431,1.6200,0.1303
J2321-0939,1.5683,1.6000,0.0855
J2341+0000,1.3788,1.4400,0.0617
