name,theta_E_pred_arcsec,theta_E_pub_arcsec
J0008-0004,1.4113,1.1600
J0029-0055,0.9321,0.9600
J0037-0942,0.7937,1.5300
J0044+0113,1.3750,0.7900
J0109+1500,0.7695,0.6900
J0157-0056,0.7816,0.7900
J0216-0813,0.8270,1.1600
J0252+0039,1.0180,1.0400
J0330-0020,0.9820,1.1000
J0405-0455,1.5203,0.8000
J0728+3835,1.1497,1.2500
J0737+3216,1.1987,1.0000
J0822+2652,1.4090,1.1700
J0841+3824,0.5449,1.4100
J0903+4116,1.1157,1.2900
J0912+0029,1.1412,1.6300
J0935-0003,0.7899,0.8700
J0936+0913,0.6609,1.0900
J0946+1006,1.3627,1.3800
J0955+0101,1.9130,0.9100
J0956+5100,1.4341,1.3300
J0959+4416,0.6088,0.9600
J0959+0410,0.8526,0.9900
J1016+3859,0.8491,1.0900
J1020+1122,0.8993,1.2000
J1023+4230,1.3623,1.4100
J1029+0420,1.0982,1.0100
J1032+5322,0.5842,1.0300
J1100+5329,1.1609,1.5200
J1103+5322,1.0296,1.0200
J1106+5228,1.5659,1.2300
J1112+0826,0.9805,1.4900
J1134+6027,1.2145,1.1000
J1142+1001,0.8493,0.9800
J1143-0144,1.1285,1.6800
J1153+4612,1.0134,1.0500
J1204+0358,1.5601,1.3100
J1205+4910,0.8253,1.2200
J1213+6708,0.6703,1.4200
J1218+0830,1.7493,1.4500
J1250+0523,0.8297,1.1300
J1251-0208,0.8760,0.8400
J1402+6321,1.0520,1.3500
J1403+0006,0.8745,0.8300
J1416+5136,1.3939,1.3700
J1420+6019,1.2556,1.0400
J1430+4105,1.5853,1.5200
J1432+6317,1.1676,1.2600
J1436-0000,0.6395,1.1200
J1443+0304,0.9176,0.8100
J1451-0239,0.7445,1.0400
J1525+3327,1.5694,1.3100
J1531-0105,0.8738,1.7100
J1538+5817,0.9509,1.0000
J1621+3931,1.0769,1.2900
J1627-0053,1.1344,1.2300
J1630+4520,1.0116,1.7800
J1636+4707,0.9940,1.0900
J2238-0754,0.9293,1.2700
J2300+0022,1.1546,1.2400
J2303+1422,0.9373,1.6200
J2321-0939,1.0137,1.6000
J2341+0000,1.3445,1.4400
