name,theta_E_pred_arcsec,theta_E_pub_arcsec
J0008-0004,1.1326,1.1600
J0029-0055,0.9827,0.9600
J0037-0942,1.5465,1.5300
J0044+0113,1.0096,0.7900
J0109+1500,1.0299,0.6900
J0157-0056,0.9115,0.7900
J0216-0813,1.1945,1.1600
J0252+0039,0.9846,1.0400
J0330-0020,0.9244,1.1000
J0405-0455,0.9306,0.8000
J0728+3835,1.2806,1.2500
J0737+3216,0.9975,1.0000
J0822+2652,1.1161,1.1700
J0841+3824,1.1291,1.4100
J0903+4116,1.2840,1.2900
J0912+0029,1.5509,1.6300
J0935-0003,1.0012,0.8700
J0936+0913,1.2375,1.0900
J0946+1006,1.4098,1.3800
J0955+0101,1.0107,0.9100
J0956+5100,1.2439,1.3300
J0959+4416,1.1013,0.9600
J0959+0410,1.1396,0.9900
J1016+3859,0.8347,1.0900
J1020+1122,1.1297,1.2000
J1023+4230,1.3387,1.4100
J1029+0420,1.1118,1.0100
J1032+5322,0.9816,1.0300
J1100+5329,1.6390,1.5200
J1103+5322,0.9879,1.0200
J1106+5228,1.2231,1.2300
J1112+0826,0.9646,1.4900
J1134+6027,1.9667,1.1000
J1142+1001,0.9701,0.9800
J1143-0144,1.8048,1.6800
J1153+4612,0.9691,1.0500
J1204+0358,1.2971,1.3100
J1205+4910,1.4842,1.2200
J1213+6708,1.4391,1.4200
J1218+0830,1.7240,1.4500
J1250+0523,1.1949,1.1300
J1251-0208,1.0514,0.8400
J1402+6321,1.3182,1.3500
J1403+0006,0.9347,0.8300
J1416+5136,0.7577,1.3700
J1420+6019,1.2103,1.0400
J1430+4105,1.3597,1.5200
J1432+6317,1.2035,1.2600
J1436-0000,0.9812,1.1200
J1443+0304,0.8011,0.8100
J1451-0239,0.8938,1.0400
J1525+3327,1.2347,1.3100
J1531-0105,1.6416,1.7100
J1538+5817,1.0910,1.0000
J1621+3931,1.2463,1.2900
J1627-0053,1.2121,1.2300
J1630+4520,0.9065,1.7800
J1636+4707,0.9768,1.0900
J2238-0754,1.1207,1.2700
J2300+0022,1.2685,1.2400
J2303+1422,1.5300,1.6200
J2321-0939,1.5624,1.6000
J2341+0000,1.2857,1.4400
