name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
J0008-0004,0.9153,1.1600,0.1702
J0029-0055,0.9702,0.9600,0.0081
J0037-0942,1.0232,1.5300,0.2846
J0044+0113,0.8552,0.7900,0.1325
J0109+1500,0.9087,0.6900,0.2645
J0157-0056,0.9298,0.7900,0.0818
J0216-0813,1.2072,1.1600,0.0868
J0252+0039,1.0191,1.0400,0.0100
J0330-0020,1.0195,1.1000,0.0712
J0405-0455,0.8335,0.8000,0.1041
J0728+3835,1.2301,1.2500,0.0531
J0737+3216,1.0072,1.0000,0.0232
J0822+2652,0.9382,1.1700,0.1786
J0841+3824,0.4889,1.4100,0.0193
J0903+4116,1.2959,1.2900,0.0220
J0912+0029,1.5640,1.6300,0.0573
J0935-0003,0.8102,0.8700,0.0943
J0936+0913,1.2449,1.0900,0.1211
J0946+1006,1.3983,1.3800,0.0080
J0955+0101,0.6129,0.9100,0.1130
J0956+5100,1.2871,1.3300,0.0481
J0959+4416,1.0377,0.9600,0.0969
J0959+0410,1.0615,0.9900,0.0517
J1016+3859,0.7752,1.0900,0.1031
J1020+1122,1.1766,1.2000,0.0630
J1023+4230,1.3897,1.4100,0.0438
J1029+0420,0.8444,1.0100,0.0634
J1032+5322,1.0836,1.0300,0.1237
J1100+5329,1.6713,1.5200,0.1517
J1103+5322,1.0559,1.0200,0.1102
J1106+5228,1.2703,1.2300,0.0377
J1112+0826,1.0253,1.4900,0.2585
J1134+6027,1.2839,1.1000,0.3602
J1142+1001,0.8426,0.9800,0.1084
J1143-0144,1.5355,1.6800,0.1928
J1153+4612,1.0118,1.0500,0.0422
J1204+0358,1.3299,1.3100,0.1414
J1205+4910,1.2456,1.2200,0.1075
J1213+6708,1.3774,1.4200,0.0431
J1218+0830,1.6388,1.4500,0.0601
J1250+0523,1.1046,1.1300,0.1203
J1251-0208,0.9055,0.8400,0.1749
J1402+6321,1.2615,1.3500,0.1531
J1403+0006,0.7690,0.8300,0.1485
J1416+5136,0.6490,1.3700,0.1184
J1420+6019,1.0937,1.0400,0.0212
J1430+4105,1.5140,1.5200,0.0374
J1432+6317,1.2229,1.2600,0.0570
J1436-0000,1.0480,1.1200,0.1085
J1443+0304,0.8042,0.8100,0.0528
J1451-0239,0.7551,1.0400,0.1838
J1525+3327,1.2390,1.3100,0.1790
J1531-0105,1.6580,1.7100,0.1511
J1538+5817,0.9440,1.0000,0.2354
J1621+3931,1.2325,1.2900,0.0598
J1627-0053,1.2169,1.2300,0.0143
J1630+4520,1.2540,1.7800,0.4322
J1636+4707,0.7588,1.0900,0.1133
J2238-0754,1.1247,1.2700,0.0985
J2300+0022,1.2674,1.2400,0.0261
J2303+1422,1.5085,1.6200,0.1100
J2321-0939,1.5539,1.6000,0.1085
J2341+0000,1.3757,1.4400,0.0564
