name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
J0008-0004,1.1442,1.1600,0.0680
J0029-0055,0.9543,0.9600,0.0186
J0037-0942,1.5606,1.5300,0.0999
J0044+0113,0.9383,0.7900,0.0480
J0109+1500,1.0714,0.6900,0.2771
J0157-0056,0.8098,0.7900,0.1941
J0216-0813,1.5091,1.1600,0.2582
J0252+0039,0.9753,1.0400,0.0316
J0330-0020,1.0826,1.1000,0.1004
J0405-0455,0.7016,0.8000,0.2606
J0728+3835,1.1900,1.2500,0.0897
J0737+3216,0.9885,1.0000,0.0141
J0822+2652,1.1905,1.1700,0.1354
J0841+3824,0.5168,1.4100,0.0248
J0903+4116,1.2871,1.2900,0.0413
J0912+0029,1.4923,1.6300,0.0530
J0935-0003,1.3109,0.8700,0.3615
J0936+0913,1.3550,1.0900,0.2470
J0946+1006,1.4043,1.3800,0.0118
J0955+0101,0.8139,0.9100,0.1264
J0956+5100,1.2864,1.3300,0.0508
J0959+4416,1.0501,0.9600,0.1531
J0959+0410,1.0533,0.9900,0.1010
J1016+3859,0.8360,1.0900,0.2047
J1020+1122,1.1441,1.2000,0.0318
J1023+4230,1.2572,1.4100,0.0670
J1029+0420,1.1498,1.0100,0.2072
J1032+5322,0.8341,1.0300,0.1903
J1100+5329,1.7217,1.5200,0.0751
J1103+5322,0.9791,1.0200,0.0831
J1106+5228,1.2799,1.2300,0.0333
J1112+0826,1.5809,1.4900,0.3972
J1134+6027,1.1297,1.1000,0.2963
J1142+1001,1.0454,0.9800,0.2131
J1143-0144,1.6441,1.6800,0.1691
J1153+4612,0.9140,1.0500,0.1073
J1204+0358,1.3369,1.3100,0.0606
J1205+4910,1.2438,1.2200,0.3591
J1213+6708,0.8427,1.4200,0.1621
J1218+0830,1.8177,1.4500,0.1270
J1250+0523,1.1928,1.1300,0.0318
J1251-0208,1.3869,0.8400,0.4369
J1402+6321,1.0014,1.3500,0.2307
J1403+0006,0.8553,0.8300,0.0745
J1416+5136,1.2454,1.3700,0.2727
J1420+6019,1.0681,1.0400,0.0323
J1430+4105,1.4537,1.5200,0.0699
J1432+6317,1.0382,1.2600,0.1549
J1436-0000,1.1286,1.1200,0.0792
J1443+0304,0.7896,0.8100,0.0501
J1451-0239,1.0406,1.0400,0.1100
J1525+3327,1.1852,1.3100,0.1400
J1531-0105,1.7070,1.7100,0.0222
J1538+5817,1.0382,1.0000,0.1535
J1621+3931,1.2690,1.2900,0.0186
J1627-0053,1.2139,1.2300,0.0132
J1630+4520,1.1493,1.7800,0.3187
J1636+4707,0.8097,1.0900,0.2223
J2238-0754,1.2688,1.2700,0.0172
J2300+0022,1.2442,1.2400,0.0269
J2303+1422,1.5346,1.6200,0.0965
J2321-0939,1.5141,1.6000,0.1037
J2341+0000,1.2957,1.4400,0.0872
