name,theta_E_pred_arcsec,theta_E_pub_arcsec,theta_E_sigma_arcsec
J0008-0004,1.0914,1.1600,0.1005
J0029-0055,0.9643,0.9600,0.0099
J0037-0942,1.6448,1.5300,0.1221
J0044+0113,0.9044,0.7900,0.0696
J0109+1500,1.1128,0.6900,0.2782
J0157-0056,0.9354,0.7900,0.1229
J0216-0813,1.2402,1.1600,0.1586
J0252+0039,0.9806,1.0400,0.0372
J0330-0020,1.0665,1.1000,0.0539
J0405-0455,0.5300,0.8000,0.1523
J0728+3835,1.2863,1.2500,0.1116
J0737+3216,0.9858,1.0000,0.0097
J0822+2652,1.0898,1.1700,0.1175
J0841+3824,0.4884,1.4100,0.0168
J0903+4116,1.2755,1.2900,0.0241
J0912+0029,1.5318,1.6300,0.0874
J0935-0003,0.8299,0.8700,0.2130
J0936+0913,1.4574,1.0900,0.2203
J0946+1006,1.3989,1.3800,0.0101
J0955+0101,0.5170,0.9100,0.0782
J0956+5100,1.3423,1.3300,0.0263
J0959+4416,1.1531,0.9600,0.1491
J0959+0410,1.0651,0.9900,0.0762
J1016+3859,0.6563,1.0900,0.1369
J1020+1122,1.1736,1.2000,0.0212
J1023+4230,1.3066,1.4100,0.1146
J1029+0420,1.2322,1.0100,0.2339
J1032+5322,0.9005,1.0300,0.1258
J1100+5329,1.7468,1.5200,0.0731
J1103+5322,0.8616,1.0200,0.1767
J1106+5228,1.2680,1.2300,0.0671
J1112+0826,1.6353,1.4900,0.3058
J1134+6027,1.3855,1.1000,0.3428
J1142+1001,0.7327,0.9800,0.2184
J1143-0144,1.1747,1.6800,0.3704
J1153+4612,0.8152,1.0500,0.0916
J1204+0358,1.3552,1.3100,0.0336
J1205+4910,1.4385,1.2200,0.0836
J1213+6708,1.0489,1.4200,0.2726
J1218+0830,1.7342,1.4500,0.1212
J1250+0523,1.1787,1.1300,0.0540
J1251-0208,0.8919,0.8400,0.3380
J1402+6321,0.9822,1.3500,0.3670
J1403+0006,0.7202,0.8300,0.0941
J1416+5136,0.8968,1.3700,0.2727
J1420+6019,1.0921,1.0400,0.0325
J1430+4105,1.4550,1.5200,0.0821
J1432+6317,1.1911,1.2600,0.0844
J1436-0000,1.1400,1.1200,0.0440
J1443+0304,0.8205,0.8100,0.0329
J1451-0239,1.0177,1.0400,0.1750
J1525+3327,1.2015,1.3100,0.1174
J1531-0105,1.7180,1.7100,0.0266
J1538+5817,1.1693,1.0000,0.1056
J1621+3931,1.2803,1.2900,0.0205
J1627-0053,1.2222,1.2300,0.0073
J1630+4520,1.5419,1.7800,0.4212
J1636+4707,0.7040,1.0900,0.2309
J2238-0754,1.2718,1.2700,0.0130
J2300+0022,1.2411,1.2400,0.0233
J2303+1422,1.4755,1.6200,0.1455
J2321-0939,1.5696,1.6000,0.1084
J2341+0000,1.3125,1.4400,0.0928
