#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-13T07:40:48 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-13T07:40:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/682/964/table4&-out.max=999&-out=Name,zFG,zBG,sigma,e_sigma,Lens	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_16820964
#Name: J/ApJ/682/964
#Title: Sloan lens ACS survey. V. (Bolton+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/apj/682/964	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/682/964	    IVOID of underlying data collection
#INFO	creator=Bolton A.S.	    First author or institution
#INFO	cites=bibcode:2008ApJ...682..964B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/682/964	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.16820964	    Dataset identifier that can be used for citation
#INFO	publication_date=2009-11-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_682_964_table4:
#Name: J/ApJ/682/964/table4
#Title: SLACS HST-ACS target observational data
#Column	Name	(a10)	System name (JHHMM-DDMM), as in table5	[ucd=meta.id]
#Column	zFG	(F7.4)	Foreground galaxy redshift (directly from SDSS database)	[ucd=src.redshift]
#Column	zBG	(F7.4)	Background galaxy redshift (measured as described in Bolton et al. 2004AJ....127.1860B)	[ucd=src.redshift]
#Column	sigma	(I3)	? Velocity dispersion, uncorrected for aperture effects	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I2)	? rms uncertainty on sigma (7)	[ucd=stat.error]
#Column	Lens	(A1)	[AXB] Lens status code (10)	[ucd=meta.code]
Name	zFG	zBG	sigma	e_sigma	Lens
 	 	 	km/s	km/s	
----------	-------	-------	---	--	-
J0008-0004	 0.4400	 1.1924	   	  	A
J0028-0929	 0.0565	 0.7146	147	 7	X
J0029-0055	 0.2270	 0.9313	229	18	A
J0037-0942	 0.1955	 0.6322	279	14	A
J0044+0113	 0.1196	 0.1965	266	13	A
J0109+1500	 0.2939	 0.5248	251	19	A
J0157-0056	 0.5132	 0.9243	   	  	A
J0216-0813	 0.3317	 0.5235	333	23	A
J0252+0039	 0.2803	 0.9818	164	12	A
J0330-0020	 0.3507	 1.0709	212	21	A
J0354-0648	 0.1301	 0.3808	160	 8	X
J0405-0455	 0.0753	 0.8098	160	 8	A
J0728+3835	 0.2058	 0.6877	214	11	A
J0737+3216	 0.3223	 0.5812	338	17	A
J0742+3450	 0.0853	 0.7390	165	10	X
J0758+3034	 0.1156	 0.5013	191	10	B
J0802+4504	 0.1423	 0.4523	244	12	X
J0803+4536	 0.1313	 0.2938	228	12	X
J0808+4706	 0.2195	 1.0251	   	  	A
J0819+4534	 0.1943	 0.4462	225	15	B
J0822+2652	 0.2414	 0.5941	259	15	A
J0841+3824	 0.1159	 0.6567	225	11	A
J0847+0318	 0.1192	 0.4146	199	12	X
J0903+4116	 0.4304	 1.0645	   	  	A
J0903+3139	 0.2711	 0.5494	258	15	B
J0910+0520	 0.2706	 1.0741	   	  	B
J0912+0029	 0.1642	 0.3239	326	16	A
J0912+4136	 0.0646	 0.1377	218	11	X
J0925+0814	 0.1345	 0.2251	   	  	X
J0934+6034	 0.1011	 0.2440	208	10	X
J0935-0003	 0.3475	 0.4670	396	35	A
J0936+0913	 0.1897	 0.5880	243	12	A
J0946+1006	 0.2219	 0.6085	263	21	A
J0953+5205	 0.1315	 0.4673	229	19	X
J0955+0101	 0.1109	 0.3159	192	13	A
J0956+5100	 0.2405	 0.4699	334	17	A
J0959+4416	 0.2369	 0.5315	244	19	A
J0959+0410	 0.1260	 0.5350	197	13	A
J1016+3859	 0.1679	 0.4394	247	13	A
J1020+1122	 0.2822	 0.5530	282	18	A
J1023+4230	 0.1912	 0.6960	242	15	A
J1025-0035	 0.1589	 0.2764	264	13	X
J1029+0420	 0.1045	 0.6154	210	11	A
J1029+6115	 0.1574	 0.2512	228	14	B
J1032+5322	 0.1334	 0.3290	296	15	A
J1039+0513	 0.0668	 0.3627	190	10	X
J1039+0933	 0.2212	 0.5612	   	  	B
J1046+4151	 0.1025	 0.7584	191	10	X
J1100+5329	 0.3171	 0.8581	   	  	A
J1103+5322	 0.1582	 0.7353	196	12	A
