b_SIE_arcsec,theta_SIS_raw,theta_SIS_c15a,sigma_kms,e_sigma_kms
9.599999999999999645e-01,1.067976758058315490e+00,1.188352069266761291e+00,2.290000000000000000e+02,1.800000000000000000e+01
1.530000000000000027e+00,1.466419774283163502e+00,1.631704959901328911e+00,2.790000000000000000e+02,1.400000000000000000e+01
7.900000000000000355e-01,7.749570319961271991e-01,8.623050882116104487e-01,2.660000000000000000e+02,1.300000000000000000e+01
6.899999999999999467e-01,7.356057087007952244e-01,8.185183427477740192e-01,2.510000000000000000e+02,1.900000000000000000e+01
1.159999999999999920e+00,1.066304222033561011e+00,1.186491015989203479e+00,3.330000000000000000e+02,2.300000000000000000e+01
1.040000000000000036e+00,5.087451666073263823e-01,5.660875734472378129e-01,1.640000000000000000e+02,1.200000000000000000e+01
1.100000000000000089e+00,7.818532841549324930e-01,8.699786405256152433e-01,2.120000000000000000e+02,2.100000000000000000e+01
8.000000000000000444e-01,6.551576366091728110e-01,7.290026934443075701e-01,1.600000000000000000e+02,8.000000000000000000e+00
1.250000000000000000e+00,8.719940010019773258e-01,9.702794257085509688e-01,2.140000000000000000e+02,1.100000000000000000e+01
1.000000000000000000e+00,1.337905675699313734e+00,1.488705597949173454e+00,3.380000000000000000e+02,1.700000000000000000e+01
1.169999999999999929e+00,1.072064350141010314e+00,1.192900387826258957e+00,2.590000000000000000e+02,1.500000000000000000e+01
1.409999999999999920e+00,1.163419875248891788e+00,1.294552906461851061e+00,2.250000000000000000e+02,1.100000000000000000e+01
1.629999999999999893e+00,1.447131914433563926e+00,1.610243099433812164e+00,3.260000000000000000e+02,1.600000000000000000e+01
8.699999999999999956e-01,1.049554012476227705e+00,1.167852833053183437e+00,3.960000000000000000e+02,3.500000000000000000e+01
1.090000000000000080e+00,1.093254673305429137e+00,1.216479144752253827e+00,2.430000000000000000e+02,1.200000000000000000e+01
1.379999999999999893e+00,1.189576196116498341e+00,1.323657395668093706e+00,2.630000000000000000e+02,2.100000000000000000e+01
1.330000000000000071e+00,1.469188342498041644e+00,1.634785582903872214e+00,3.340000000000000000e+02,1.700000000000000000e+01
9.599999999999999645e-01,8.903256098848018052e-01,9.906772528939470357e-01,2.440000000000000000e+02,1.900000000000000000e+01
9.899999999999999911e-01,8.263125596526471606e-01,9.194490729457609479e-01,1.970000000000000000e+02,1.300000000000000000e+01
1.090000000000000080e+00,1.038559899445061552e+00,1.155619535959627964e+00,2.470000000000000000e+02,1.300000000000000000e+01
1.199999999999999956e+00,1.036492498017563602e+00,1.153319110649962287e+00,2.820000000000000000e+02,1.800000000000000000e+01
1.409999999999999920e+00,1.159073983185592960e+00,1.289717174047954718e+00,2.420000000000000000e+02,1.500000000000000000e+01
1.010000000000000009e+00,1.025324138826011255e+00,1.140891927515635285e+00,2.100000000000000000e+02,1.100000000000000000e+01
1.030000000000000027e+00,1.450554994535652176e+00,1.614052006595778632e+00,2.960000000000000000e+02,1.500000000000000000e+01
1.020000000000000018e+00,8.305326812002821191e-01,9.241448588192351377e-01,1.960000000000000000e+02,1.200000000000000000e+01
1.229999999999999982e+00,1.476984451913088137e+00,1.643460418461571981e+00,2.620000000000000000e+02,1.300000000000000000e+01
1.489999999999999991e+00,1.545804619541819358e+00,1.720037542440914669e+00,3.200000000000000000e+02,2.000000000000000000e+01
1.100000000000000089e+00,1.070738013817738032e+00,1.191424555601998447e+00,2.390000000000000000e+02,1.200000000000000000e+01
9.799999999999999822e-01,7.412306255815069855e-01,8.247772632385156344e-01,2.210000000000000000e+02,2.200000000000000000e+01
1.679999999999999938e+00,1.493652732027426877e+00,1.662007437407006849e+00,2.690000000000000000e+02,1.300000000000000000e+01
1.050000000000000044e+00,1.109516552906125719e+00,1.234573956392901239e+00,2.260000000000000000e+02,1.500000000000000000e+01
1.310000000000000053e+00,1.450586346227353829e+00,1.614086892043825161e+00,2.670000000000000000e+02,1.700000000000000000e+01
1.219999999999999973e+00,1.186051050402749274e+00,1.319734918730471440e+00,2.810000000000000000e+02,1.400000000000000000e+01
1.419999999999999929e+00,1.918960611066258037e+00,2.135253221379072475e+00,2.920000000000000000e+02,1.500000000000000000e+01
1.449999999999999956e+00,1.079979199915092059e+00,1.201707347374766588e+00,2.190000000000000000e+02,1.100000000000000000e+01
1.129999999999999893e+00,1.211639255300937634e+00,1.348207257674314929e+00,2.520000000000000000e+02,1.400000000000000000e+01
1.350000000000000089e+00,1.117044178180402580e+00,1.242950046044529300e+00,2.670000000000000000e+02,1.700000000000000000e+01
8.299999999999999600e-01,7.462969517236982542e-01,8.304146323190934043e-01,2.130000000000000000e+02,1.700000000000000000e+01
1.370000000000000107e+00,9.598979445964510582e-01,1.068091323279356741e+00,2.400000000000000000e+02,2.500000000000000000e+01
1.040000000000000036e+00,1.051275843797910392e+00,1.169768737869098629e+00,2.050000000000000000e+02,1.000000000000000000e+01
1.520000000000000018e+00,1.390875294600109058e+00,1.547645603669405290e+00,3.220000000000000000e+02,3.200000000000000000e+01
1.260000000000000009e+00,8.985976241744566551e-01,9.998816341915210959e-01,1.990000000000000000e+02,1.000000000000000000e+01
1.120000000000000107e+00,8.582318926839468398e-01,9.549661431171410086e-01,2.240000000000000000e+02,1.700000000000000000e+01
8.100000000000000533e-01,8.268482880523558842e-01,9.200451851247529733e-01,2.090000000000000000e+02,1.100000000000000000e+01
1.040000000000000036e+00,1.051505569745468271e+00,1.170024357013508931e+00,2.230000000000000000e+02,1.400000000000000000e+01
1.310000000000000053e+00,9.049417844882136075e-01,1.006940866501332410e+00,2.640000000000000000e+02,2.600000000000000000e+01
1.709999999999999964e+00,1.683354932289352179e+00,1.873091621144840291e+00,2.790000000000000000e+02,1.400000000000000000e+01
1.000000000000000000e+00,7.239906788447236785e-01,8.055941431714152001e-01,1.890000000000000000e+02,1.200000000000000000e+01
1.290000000000000036e+00,8.884755310418591678e-01,9.886186453402446839e-01,2.360000000000000000e+02,2.000000000000000000e+01
1.229999999999999982e+00,1.382045149220969549e+00,1.537820182419316506e+00,2.900000000000000000e+02,1.500000000000000000e+01
1.780000000000000027e+00,1.403438496181751205e+00,1.561624846647784892e+00,2.760000000000000000e+02,1.600000000000000000e+01
1.090000000000000080e+00,9.531779767329865427e-01,1.060613924866236957e+00,2.310000000000000000e+02,1.500000000000000000e+01
1.270000000000000018e+00,8.777525427542384184e-01,9.766870323869023540e-01,1.980000000000000000e+02,1.100000000000000000e+01
1.239999999999999991e+00,1.068462790596667711e+00,1.188892884193981647e+00,2.790000000000000000e+02,1.700000000000000000e+01
1.620000000000000107e+00,1.256735370527951146e+00,1.398386310206643390e+00,2.550000000000000000e+02,1.600000000000000000e+01
1.600000000000000089e+00,1.479399950450309253e+00,1.646148176096144278e+00,2.490000000000000000e+02,1.200000000000000000e+01
1.439999999999999947e+00,9.001820709274862553e-01,1.001644669354410988e+00,2.070000000000000000e+02,1.300000000000000000e+01
