name,ra,dec,z,velDisp,velDispErr,err
J0028-0929,7.07446,-9.49286,0.05651893,158.802,5.099163,
J0354-0648,58.74362,-6.81189,0.1300709,159.7191,7.583535,
J0742+3450,115.716,34.83386,0.0852633,163.1517,9.965415,
J0802+4504,120.67008,45.08131,0.14227,232.0509,9.9123,
J0803+4536,120.99254,45.61544,0.1313133,229.9281,12.32649,
J0847+0318,131.77871,3.30628,0.1191583,200.1411,10.75085,
J0912+4136,138.18462,41.61028,0.06453554,215.4401,7.141256,
J0925+0814,141.49729,8.23661,0.1344502,110.5064,26.32875,
J0934+6034,143.60471,60.57319,0.1010743,204.6884,9.180329,
J0953+5205,148.33508,52.09547,0.1309633,203.7331,14.47386,
J1025-0035,156.46383,-0.58819,0.1589206,241.1717,10.57824,
J1039+0513,159.76758,5.22661,0.06681362,174.2659,11.46401,
J1046+4151,161.52887,41.85447,0.1025274,188.259,9.750842,
J1136+0426,174.15058,4.44028,0.1282374,261.4435,14.09883,
J1140+5640,175.21954,56.67903,0.06737202,161.5383,8.683605,
J1152+0054,178.03737,0.90861,0.1061575,223.9886,18.26009,
J1155+6237,178.79192,62.62289,0.3751129,341.9236,45.42779,
J1159+5447,179.77275,54.79397,0.08176615,226.3887,8.108258,
J1203+0233,180.85371,2.55031,0.1643883,212.7608,12.01429,
J1211+4550,182.99479,45.8435,0.1110025,230.7908,8.033003,
J1244+0111,191.10846,1.19633,0.07245521,162.3073,6.531673,
J1343+6027,205.78437,60.46528,0.1197831,179.0088,8.779521,
J1343+6052,205.78842,60.86936,0.03430038,195.5744,4.380127,
J1430+5115,217.66608,51.25858,0.133735,212.9925,10.21307,
J1436+4939,219.03958,49.65758,0.1224585,215.381,12.54941,
J1448-0116,222.24267,-1.27072,0.1473507,186.4637,9.078754,
J1452-0058,223.07892,-0.97228,0.1769851,195.1452,12.18758,
J1515+6128,228.77142,61.48008,0.2420638,236.2868,21.04535,
J1520-0034,230.03783,-0.58258,0.1139796,200.2067,13.40732,
J1524-0052,231.18487,-0.86919,0.1523808,180.2525,19.4057,
J1525+0114,231.35262,1.23381,0.1295882,169.8152,10.63076,
J1535-0038,233.87658,-0.64786,0.1613446,230.4983,14.84028,
J1537+4125,234.29692,41.43183,0.1422844,206.6777,13.44538,
J1541+4130,235.25321,41.51631,0.142296,195.3203,10.64834,
J1547+5720,236.88008,57.33333,0.1882759,251.8785,11.19477,
J1633-0012,248.41358,-0.21561,0.07019809,191.2104,8.065521,
J1700+6221,255.05825,62.35269,0.1227961,184.5712,6.079784,
J1717+5739,259.34637,57.66339,0.1143404,224.5882,9.35145,
J2202-0846,330.57633,-8.78,0.1612684,203.5196,12.0602,
J2209-0754,332.48721,-7.91331,0.1111979,230.1761,15.90545,
J2225+1259,336.40558,12.99933,0.3103456,240.8054,24.72314,
J2241+1228,340.48212,12.47056,0.09982201,143.6835,27.89048,
SDSSJ0026-0059,6.50767,-0.99611,0.09236082,72.93112,19.81396,
SDSSJ0105+0111,16.38942,1.18742,0.3584599,149.143,55.00913,
SDSSJ0152+1414,28.11571,14.24436,0.1359486,124.6946,21.08048,
SDSSJ0207+0045,31.759,0.75644,0.04186494,153.0967,4.228814,
SDSSJ0753+3839,118.27954,38.66086,0.04075799,38.07081,13.93519,
SDSSJ0754+4202,118.50279,42.04672,0.3631041,340.3683,29.44591,
SDSSJ0824+2242,126.1535,22.70072,0.2801243,317.9657,24.14561,
SDSSJ0831+1940,127.76425,19.68242,0.08760329,156.7852,6.828432,
SDSSJ0832+1334,128.15454,13.57975,0.3969012,312.8227,28.0486,
SDSSJ0844+2113,131.21342,21.22119,0.1778946,256.813,15.44723,
SDSSJ0849+2031,132.46462,20.52508,0.08435504,202.1686,8.212989,
SDSSJ0901+5541,135.44279,55.68386,0.1163416,194.0581,10.09398,
SDSSJ0902+5158,135.68583,51.97572,0.1365601,256.0936,8.689559,
SDSSJ0920+3605,140.17558,36.089,0.1844379,248.2747,13.55604,
SDSSJ0932+6153,143.16333,61.89519,0.123476,203.0747,12.91373,
SDSSJ1012+5531,153.21571,55.52364,0.1711267,203.6624,8.966153,
SDSSJ1031+4218,157.93304,42.31647,0.1193736,222.0433,38.04943,
SDSSJ1102+3655,165.51387,36.92494,0.09364215,269.5753,9.155909,
SDSSJ1103+3625,165.79521,36.43053,0.1567201,289.7531,15.35554,
SDSSJ1119+1357,169.93479,13.96289,0.067779,204.9122,5.310751,
SDSSJ1121+5822,170.44212,58.38161,0.1750709,201.7692,12.80379,
SDSSJ1148+3103,177.01104,31.05672,0.1424558,238.7572,10.72847,
SDSSJ1150+2944,177.74179,29.73833,0.2354493,223.0406,14.38787,
SDSSJ1229+1615,187.39942,16.25547,0.1206733,183.3826,11.09101,
SDSSJ1235+3919,188.83112,39.33156,0.06228075,168.16,6.61718,
SDSSJ1238+6709,189.71504,67.15778,0.2312449,222.3204,10.41732,
SDSSJ1242+0248,190.62133,2.81042,0.2055689,231.347,12.192,
SDSSJ1248+4458,192.13467,44.98214,0.2627845,235.8138,23.65831,
SDSSJ1356+0601,209.24642,6.02744,0.1256367,850.0,-3.0,
SDSSJ1400+2933,210.24562,29.55969,0.340691,175.9364,21.49637,
SDSSJ1405+1353,211.31962,13.89481,0.1330534,192.6526,12.01328,
SDSSJ1406+2528,211.58767,25.47969,0.1193072,407.8484,17.74604,
SDSSJ1451+2951,222.81842,29.85103,0.1249049,245.0723,8.797785,
SDSSJ1514+3003,228.56404,30.06164,0.09231693,189.366,7.351021,
SDSSJ1514+3259,228.63725,32.99578,0.1124059,201.209,9.170749,
SDSSJ1542+3214,235.70671,32.23569,0.09242383,169.558,11.50313,
SDSSJ1607+1545,241.86896,15.75236,0.1422327,169.395,14.83949,
SDSSJ1609+1805,242.43346,18.0845,0.149653,224.3478,10.91318,
SDSSJ1629+1331,247.36479,13.52003,0.1222489,177.1331,9.36642,
SDSSJ2134+1043,323.61017,10.72031,0.2290214,241.9724,13.37263,
SDSSJ2157+0004,329.41187,0.07136,0.1444006,178.8706,14.47697,
SDSSJ2356+1427,359.19833,14.45506,0.1445619,206.5386,14.71035,
