stamp_id,name,src_index,sigma_v,sigma_err,z_l,mag,re_arcsec,q,pa_deg,prom,flag_arcy
0,J0028-0929,0,158.802,5.099163,0.05651893,15.562,2.385,0.82,-38.8,29.4,1
1,J0354-0648,1,159.7191,7.583535,0.1300709,16.436,1.846,0.947,15.5,99.8,1
2,J0847+0318,5,200.1411,10.75085,0.1191583,17.094,1.325,0.809,66.0,204.6,1
3,J0912+4136,6,215.4401,7.141256,0.06453554,15.877,1.287,0.772,11.8,121.9,1
4,J0934+6034,8,204.6884,9.180329,0.1010743,16.617,1.255,0.742,48.3,81.8,1
5,J0953+5205,9,203.7331,14.47386,0.1309633,17.277,1.245,0.888,-48.8,105.3,1
6,J1025-0035,10,241.1717,10.57824,0.1589206,16.062,2.122,0.919,-81.4,51.0,1
7,J1039+0513,11,174.2659,11.46401,0.06681362,15.719,1.472,0.941,49.1,136.7,1
8,J1159+5447,17,226.3887,8.108258,0.08176615,16.05,1.207,0.812,88.1,65.8,1
9,J1211+4550,19,230.7908,8.033003,0.1110025,16.133,1.502,0.878,65.5,47.6,1
10,J1244+0111,20,162.3073,6.531673,0.07245521,15.66,1.537,0.862,87.2,44.4,1
11,J1343+6052,22,195.5744,4.380127,0.03430038,14.312,2.033,0.867,-6.6,27.2,1
12,J1436+4939,24,215.381,12.54941,0.1224585,16.601,1.423,0.857,45.5,88.3,1
13,J1452-0058,26,195.1452,12.18758,0.1769851,17.263,0.933,0.807,-3.6,178.0,1
14,J1520-0034,28,200.2067,13.40732,0.1139796,17.13,1.186,0.851,57.0,390.3,1
15,J1524-0052,29,180.2525,19.4057,0.1523808,17.48,1.355,0.986,-42.9,215.1,1
16,J1525+0114,30,169.8152,10.63076,0.1295882,16.87,1.249,0.898,-85.8,95.3,1
17,J1535-0038,31,230.4983,14.84028,0.1613446,16.912,1.169,0.789,-11.4,356.4,1
18,J1547+5720,34,251.8785,11.19477,0.1882759,16.649,1.48,0.953,42.4,0.0,0
19,J1717+5739,37,224.5882,9.35145,0.1143404,16.293,1.423,0.871,22.2,146.2,1
20,J2225+1259,40,240.8054,24.72314,0.3103456,18.018,0.933,0.879,33.4,123.6,1
21,SDSSJ0152+1414,44,124.6946,21.08048,0.1359486,17.378,1.69,0.872,39.9,55.5,1
22,SDSSJ0207+0045,45,153.0967,4.228814,0.04186494,15.301,1.53,0.923,21.0,58.2,1
23,SDSSJ0753+3839,46,38.07081,13.93519,0.04075799,17.556,1.63,0.924,16.6,48.3,1
24,SDSSJ0824+2242,48,317.9657,24.14561,0.2801243,17.071,2.189,0.979,71.8,238.5,1
25,SDSSJ0831+1940,49,156.7852,6.828432,0.08760329,16.98,1.035,0.842,-3.7,42.9,1
26,SDSSJ0844+2113,51,256.813,15.44723,0.1778946,16.826,1.728,0.869,-27.1,133.4,1
27,SDSSJ0849+2031,52,202.1686,8.212989,0.08435504,16.256,1.267,0.882,22.0,83.1,1
28,SDSSJ0902+5158,54,256.0936,8.689559,0.1365601,16.525,1.505,0.863,-1.2,73.5,1
29,SDSSJ1102+3655,59,269.5753,9.155909,0.09364215,15.518,1.827,0.823,-12.8,98.1,1
30,SDSSJ1119+1357,61,204.9122,5.310751,0.067779,15.293,2.928,0.776,62.2,26.0,1
31,SDSSJ1121+5822,62,201.7692,12.80379,0.1750709,17.092,1.221,0.935,52.9,57.5,1
32,SDSSJ1229+1615,65,183.3826,11.09101,0.1206733,16.726,1.219,0.878,58.7,52.2,1
33,SDSSJ1235+3919,66,168.16,6.61718,0.06228075,15.542,1.771,0.861,-29.1,46.4,1
34,SDSSJ1242+0248,68,231.347,12.192,0.2055689,17.231,1.075,0.916,42.8,107.1,1
35,SDSSJ1405+1353,72,192.6526,12.01328,0.1330534,17.274,1.091,0.806,-4.8,259.3,1
36,SDSSJ1406+2528,73,407.8484,17.74604,0.1193072,16.734,0.549,0.935,23.3,344.2,1
37,SDSSJ1514+3003,75,189.366,7.351021,0.09231693,16.173,1.425,0.892,70.4,88.6,1
38,SDSSJ1609+1805,79,224.3478,10.91318,0.149653,16.716,1.381,0.896,5.7,138.6,1
39,SDSSJ1629+1331,80,177.1331,9.36642,0.1222489,17.004,1.098,0.885,-3.8,242.1,1
40,SDSSJ2134+1043,81,241.9724,13.37263,0.2290214,16.925,1.556,0.951,-44.6,36.0,1
