stamp_id,name,src_index,sigma_v,sigma_err,z_l,mag,re_arcsec,q,pa_deg,prom,flag_arcy
0,G4_0000,0,193.0,12.0,0.133,17.289,1.075,0.804,-4.7,276.9,1
1,G4_0001,1,248.0,14.0,0.184,16.954,2.535,0.758,87.0,247.4,1
2,G4_0005,4,195.0,12.0,0.177,17.254,0.941,0.809,-3.6,168.9,1
3,G4_0007,6,195.0,8.0,0.116,16.191,1.188,0.951,4.4,185.5,1
4,G4_0012,11,256.0,9.0,0.137,16.525,1.505,0.863,-1.2,73.3,1
5,G4_0013,12,260.0,30.0,0.458,18.923,1.045,0.892,-72.1,122.4,1
6,G4_0015,14,224.0,11.0,0.15,16.712,1.377,0.895,5.7,136.8,1
7,G4_0017,16,163.0,25.0,0.463,19.32,0.884,0.807,5.9,159.7,1
8,G4_0018,17,228.0,26.0,0.506,19.054,0.828,0.815,-25.3,160.5,1
9,G4_0019,18,222.0,38.0,0.119,17.157,0.991,0.736,74.8,334.9,1
10,G4_0020,19,230.0,9.0,0.1,16.059,1.325,0.835,-34.2,55.2,1
11,G4_0021,20,186.0,13.0,0.137,17.289,0.996,0.928,-55.9,100.9,1
12,G4_0026,25,221.0,12.0,0.168,17.097,1.006,0.888,-36.1,106.4,1
13,G4_0027,26,231.0,8.0,0.111,16.133,1.502,0.878,65.5,47.6,1
14,G4_0028,27,241.0,25.0,0.31,18.018,0.933,0.879,33.4,123.6,1
15,G4_0030,29,190.0,24.0,0.554,19.104,1.227,0.959,-36.0,133.6,1
16,G4_0031,30,226.0,8.0,0.082,16.05,1.207,0.812,88.1,65.8,1
17,G4_0033,32,154.0,8.0,0.117,16.508,1.386,0.883,44.4,47.3,1
18,G4_0035,34,128.0,35.0,0.49,19.247,1.028,0.859,78.0,125.3,1
19,G4_0036,35,228.0,41.0,0.537,19.273,1.132,0.779,65.1,159.9,1
20,G4_0037,36,237.0,36.0,0.522,18.969,1.443,0.84,-46.5,49.0,1
21,G4_0038,37,254.0,14.0,0.221,17.096,1.175,0.878,39.0,273.5,1
22,G4_0039,38,195.0,32.0,0.554,19.564,0.746,0.856,49.5,154.9,1
23,G4_0040,39,187.0,27.0,0.56,19.604,0.775,0.934,-18.6,272.2,1
