stamp_id,name,src_index,sigma_v,sigma_err,z_l,mag,re_arcsec,q,pa_deg,prom,flag_arcy,iso_a3,iso_b3,iso_a4,iso_b4,iso_m3,iso_m4,iso_harm12,iso_nann,iso_drift_px,iso_q,iso_pa_deg,flag_iso_bad,flag_pair
0,G4B_00004,0,284.0,23.0,0.375,18.113,1.297,0.888,-10.0,55.8,1,0.00241,0.00272,0.00015,0.00172,0.0057,0.0038,0.00273,10,0.08356,0.81752,-11.40899,0,0
1,G4B_00006,1,260.0,25.0,0.546,19.219,0.991,0.658,-62.9,199.1,1,0.00791,-0.0137,0.00621,0.00509,0.01925,0.01076,0.18488,10,1.52378,0.54792,-31.24284,0,1
2,G4B_00010,5,270.0,31.0,0.348,18.386,0.952,0.836,36.2,126.2,1,-0.00049,0.00262,-0.00744,-0.00081,0.00415,0.00829,0.00354,10,0.05116,0.76758,38.4147,0,0
3,G4B_00011,6,323.0,17.0,0.279,17.226,2.075,0.938,-36.5,49.6,1,0.00077,-0.0002,-0.00408,0.00468,0.00234,0.009,0.01155,10,0.77194,0.87763,-37.45368,0,0
4,G4B_00012,7,301.0,20.0,0.261,16.756,3.421,0.815,-2.8,34.7,1,-0.00782,-0.02903,-0.00894,0.0034,0.08642,0.03048,0.25702,10,5.58712,0.50596,15.8694,0,1
5,G4B_00013,8,297.0,16.0,0.247,17.535,1.472,0.975,-22.3,76.7,1,-0.00353,0.00061,-0.00254,0.00435,0.00511,0.00626,0.00067,10,0.43789,0.93658,-32.79033,0,0
6,G4B_00017,12,282.0,11.0,0.217,16.5,2.378,0.939,35.7,20.0,0,-0.00244,0.00224,-0.01399,-0.00426,0.00456,0.01542,0.01251,10,0.13969,0.8502,33.31607,0,0
7,G4B_00018,13,264.0,31.0,0.21,19.19,0.348,0.825,-7.9,1528.7,1,0.00112,-0.00365,0.01152,0.00135,0.00504,0.01178,0.00528,10,0.0816,0.72662,-9.97457,0,0
8,G4B_00019,14,255.0,14.0,0.222,17.089,1.519,0.923,-72.8,151.0,1,-0.00112,0.00116,-0.01049,-0.0017,0.00733,0.017,0.06466,10,1.23941,1.0,-44.9872,0,0
9,G4B_00020,15,272.0,41.0,0.506,19.189,0.861,0.991,81.9,11.0,0,0.0002,-0.00082,-0.0002,0.00203,0.00282,0.00414,0.00783,10,0.23671,0.99071,109.4729,0,0
10,G4B_00022,16,286.0,43.0,0.538,19.548,1.337,0.761,-85.5,175.1,1,0.00332,0.03642,-0.01239,-0.00084,0.05214,0.02565,0.17557,10,0.75359,0.63186,-81.15036,0,1
11,G4B_00023,17,252.0,31.0,0.326,17.84,1.239,0.813,-38.9,68.3,1,0.00159,-0.00047,-0.00417,0.0024,0.00194,0.00486,0.0068,10,0.34561,0.72542,-38.52045,0,0
12,G4B_00026,19,253.0,18.0,0.225,17.027,1.668,0.959,54.3,0.0,0,-0.00238,-0.00259,-0.00552,0.00317,0.00336,0.00618,0.00598,10,0.17005,0.92144,53.82032,0,0
13,G4B_00032,21,304.0,45.0,0.412,18.351,1.243,0.857,40.8,117.3,1,0.00218,-0.00169,-0.0038,-0.0078,0.00363,0.01078,0.00718,10,0.1197,0.74159,39.94056,0,0
