stamp_id,ra_deg,dec_deg,sigma_v,z,priority,status,note
G4B_00082,260.90067,34.19946,330+-37,0.442,-,KNOWN,CSWA 14 / SDSS J1723+3411 (Sharon+2020 model exists)
G4B_00395,250.19028,19.54922,378+-10,0.195,-,KNOWN,SDSS J1640+1932 [WSL2017b] known lens
G4B_00401,202.93889,51.57542,270+-22,0.289,-,KNOWN,AGEL J133145+513431
G4B_00922,150.23661,2.20719,249+-30,0.361,-,KNOWN,"COSMOS 0056+1226 (Faure+2008; theta_E 1.64"" - LEMON candidate list)"
G4B_00327,184.52793,56.80146,311+-47,0.318,-,KNOWN,EEL J1218 (LEMON comparison sample!)
G4B_00333,138.44023,42.62523,294+-45,0.395,-,KNOWN,EEL J0913 (LEMON comparison sample! the 13th EEL missing from lemon review)
G4B_00331,192.19928,47.18495,261+-23,0.527,-,KNOWN,EEL J1248 (Oldham+2017 EELs - check LEMON EEL membership list)
G4B_00912,186.71535,21.87373,243+-23,0.438,-,KNOWN,CSWA 38 / SGAS J122651.3+215220
G4B_00262,120.05438,8.20233,302+-19,0.314,-,KNOWN,CSWA 11
G4B_00261,168.29437,23.94431,310+-19,0.336,-,KNOWN,SDSS J1113+2356 [KAA2009]
G4B_00275,212.83550,52.20276,340+-59,0.462,-,KNOWN,SA98 [MCM2012]
G4B_00031,186.71297,21.83120,333+-22,0.438,-,KNOWN,SDSS J1152+0930
G4B_00168,150.72529,2.24172,277+-32,0.467,-,KNOWN,COSMOS 0254+1430 (Faure+2008)
G4B_00940,149.91701,2.83692,235+-17,0.358,-,KNOWN,COSMOS 5940+5012 (Faure+2008)
G4B_00947,149.96268,2.21023,228+-25,0.425,-,KNOWN,COSMOS 5951+1236 (Faure+2008)
G4B_00948,150.05804,2.38044,227+-36,0.347,-,KNOWN,COSMOS 0013+2249 (Faure+2008)
G4B_00974,149.77704,2.75691,206+-20,0.346,-,KNOWN,COSMOS 5906+4524 (Faure+2008)
G4B_00277,168.81187,53.33177,333+-28,0.466,-,KNOWN-CLUSTER,"BCG ClG J1115+5319, cluster arcs"
G4B_00290,16.71052,1.06971,302+-13,0.253,-,KNOWN-CLUSTER,"BCG ZwCl 0104+0048, faint arc"
G4B_00266,205.97617,60.67682,253+-36,0.512,HIGH,NEW-CANDIDATE,clear arclet SW of galaxy; NO SIMBAD counterpart
G4B_00777,354.41752,0.27800,231+-22,0.272,HIGH,NEW-CANDIDATE,"bright ~1"" arc around radio galaxy Cul 2335+000; not catalogued as lens"
G4B_00558,203.17069,50.56286,230+-18,0.279,MED,NEW-CANDIDATE,curved arc SE of massive elliptical; not catalogued
G4B_00149,152.87291,1.72316,253+-17,0.331,LOW,NEW-CANDIDATE,two point sources + faint feature; not catalogued
G4B_00165,150.58049,2.29266,280+-28,0.439,LOW,NEW-CANDIDATE,faint ring/shell around COSMOS elliptical (shell galaxy vs ring)
G4B_00822,321.30707,4.17827,248+-45,0.511,LOW,NEW-CANDIDATE,faint outer ring; no SIMBAD match
