stamp_id,keep_nurkyz,keep_final,reason,flags,nurkyz_comment
G4B_00004,1,1,,,
G4B_00006,1,1,,,
G4B_00007,1,0,"KNOWN lens-type object within 10arcsec: [BBC2005] 6.4 (LeG, 3.05"")",,
G4B_00008,1,0,"KNOWN lens-type object within 10arcsec: [BBC2005] 13.2 (LeG, 7.07"")",,
G4B_00009,1,0,"KNOWN lens-type object within 10arcsec: [BBC2005] 8.5 (LeI, 1.41"")",,many bright in the image
G4B_00010,1,1,,,
G4B_00011,1,1,,,
G4B_00012,1,1,,neighbors_mask,many bright in the image
G4B_00013,1,1,,,
G4B_00014,1,0,"KNOWN lens-type object within 10arcsec: [SSK2002] ERO J003707+0909.5 (LeI, 8.91"")",,
G4B_00015,1,0,"KNOWN lens-type object within 10arcsec: [DSB2018] A370  7.2.2 (LeI, 5.37"")",,
G4B_00016,1,0,"KNOWN lens-type object within 10arcsec: [RSK2010] A  773 2.1 (LeG, 9.61"")",,
G4B_00017,1,1,,neighbors_mask|bcg,many bright light sources in the image
G4B_00018,1,1,,,
G4B_00019,1,1,,,
G4B_00020,1,1,,,
G4B_00022,1,1,,,
G4B_00023,1,1,,,
G4B_00025,1,0,"KNOWN lens-type object within 10arcsec: [CRB2019] 2.3 (LeG, 9.01"")",,many bright light sources in the image
G4B_00026,1,1,,bcg,
G4B_00031,1,0,"KNOWN lens-type object within 10arcsec: VIRTUAL PARENT SDSS J1152+0930 (gLS, 0.37"")",,
G4B_00032,1,1,,,
G4B_00033,1,1,,,
G4B_00034,1,0,edge-on disk with dust lane (the 'line'),,small line crossing the middle
G4B_00037,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,small galaxy with arms
G4B_00038,0,0,,,
G4B_00039,1,1,,,
G4B_00040,1,0,"double nuclei/superposed point sources, off-center",,"not centered, but okay?"
G4B_00041,1,1,,,
G4B_00042,1,1,,,
G4B_00044,1,1,,,
G4B_00045,1,1,,neighbors_mask|bcg,3 bright light sources in the image
G4B_00046,1,0,"KNOWN lens-type object within 10arcsec: [ZBC2011] 1.2 (LeI, 3.01"")",,
G4B_00047,1,1,,bcg,
G4B_00049,1,0,"KNOWN lens-type object within 10arcsec: VIRTUAL PARENT MACS J1311.0-0310 (gLS, 2.24"")",,
G4B_00050,1,1,,,
G4B_00051,1,0,"KNOWN lens-type object within 10arcsec: [CUZ2012] 6b (LeG, 4.59"")",,
G4B_00052,1,1,,,
G4B_00054,1,1,,bcg,
G4B_00055,1,0,"KNOWN lens-type object within 10arcsec: [ZFM2015] A611 1.6 (LeI, 1.53"")",,
G4B_00056,1,1,,,
G4B_00057,1,1,,,
G4B_00058,1,0,"KNOWN lens-type object within 10arcsec: [ZFM2015] M1720 4.3 (LeI, 2.07"")",,
G4B_00059,1,1,,,
G4B_00060,1,0,"KNOWN lens-type object within 10arcsec: [DRJ2018] RX J2129 5.2 (LeI, 4.06"")",,
G4B_00061,1,1,,,
G4B_00062,1,1,,close_pair_check_isophote_fit,2 lights
G4B_00065,1,1,,,
G4B_00068,1,1,,,
G4B_00069,0,0,,,
G4B_00070,1,1,,,
G4B_00071,1,1,,,
G4B_00072,1,1,,bcg,
G4B_00075,1,1,,,
G4B_00076,1,1,,,
G4B_00080,1,1,,,
G4B_00081,1,1,,bcg,
G4B_00082,1,0,"KNOWN lens-type object within 10arcsec: [SBD2020] SDSS J1723+3411 1.5 (LeI, 0.29"")",,"there a bright line above the light, looks like a big arc or some light contamination"
G4B_00086,1,1,,,
G4B_00087,1,1,,,
G4B_00094,1,1,,,
G4B_00097,1,1,,,
G4B_00101,0,0,,,
G4B_00107,1,1,,neighbors_mask,3 bright light sources in the image
G4B_00108,1,1,,bcg,
G4B_00109,1,1,,bcg,
G4B_00110,0,0,,,
G4B_00111,1,1,,,
G4B_00112,1,1,,bcg,
G4B_00113,1,1,,neighbors_mask,3 bright light sources in the image
G4B_00114,1,1,,,
G4B_00115,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,small galaxy
G4B_00116,1,1,,,
G4B_00117,1,1,,neighbors_mask,2 bright light sources in the image
G4B_00118,0,0,,,
G4B_00119,1,1,,,
G4B_00120,0,0,,,
G4B_00121,0,0,,,
G4B_00122,1,1,,bcg,
G4B_00123,1,0,"near-empty dark stamp, no extended light",,"maybe bad image quality, black background with white dot in the middle"
G4B_00124,1,1,,,
G4B_00125,1,1,,,
G4B_00126,1,1,,bcg,
G4B_00127,1,1,,close_pair_check_isophote_fit|bcg,2 in the center
G4B_00128,1,1,,neighbors_mask,3 bright light sources in the image
G4B_00129,0,0,,,
G4B_00130,1,1,,bcg,
G4B_00131,0,0,,,
G4B_00132,1,1,,,
G4B_00133,0,0,,,
G4B_00134,0,0,,,
G4B_00135,1,0,"KNOWN lens-type object within 10arcsec: SLACS SDSS J0903+4116 (gLS, 8.51"")",,
G4B_00136,1,1,,,
G4B_00137,1,1,,,
G4B_00138,1,1,,,very bright
G4B_00140,1,1,,,
G4B_00141,1,1,,,
G4B_00143,1,1,,,
G4B_00144,0,0,,,
G4B_00145,1,1,,,
G4B_00146,0,0,,,
G4B_00148,1,1,,,
G4B_00149,1,0,visual arc suspect - excluded from library pending investigation,,"looks like there is an arc, is it a lens?"
G4B_00152,1,1,,,
G4B_00153,1,1,,bcg,
G4B_00154,1,1,,close_pair_check_isophote_fit,2 in the center
G4B_00155,0,0,,,
G4B_00156,1,1,,,
G4B_00157,1,1,,,
G4B_00158,1,1,,low_snr,black background
G4B_00159,1,1,,bcg,
G4B_00160,1,1,,,
G4B_00161,1,1,,,
G4B_00162,1,1,,,
G4B_00163,1,1,,close_pair_check_isophote_fit,2 in the center
G4B_00164,1,1,,,
G4B_00165,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,some faint circles around the light - maybe galaxy arms
G4B_00166,1,1,,,
G4B_00167,1,1,,close_pair_check_isophote_fit,2 in the center
G4B_00168,1,0,"KNOWN lens-type object within 10arcsec: [FKC2008] COSMOS 0254+1430 (gLS, 1.06"")",,
G4B_00169,1,1,,,
G4B_00170,1,1,,,
G4B_00171,1,1,,,
G4B_00172,1,1,,,
G4B_00173,1,1,,,
G4B_00174,1,1,,,
G4B_00175,1,1,,,
G4B_00176,1,1,,,
G4B_00177,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_00178,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_00179,1,1,,low_snr,"black backrgound, maybe bad image quality"
G4B_00180,1,1,,,
G4B_00181,1,1,,neighbors_mask,2 bright light sources in the image
G4B_00182,1,1,,,
G4B_00183,1,1,,,
G4B_00184,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_00185,1,1,,close_pair_check_isophote_fit,2 lights close in the center
G4B_00187,1,1,,,
G4B_00191,1,1,,,
G4B_00193,0,0,,,
