i,name,theta_E_pub,off_center,defl_re_px,defl_re_as,n_field_comp,arc_coverage,n_knots,arc_radius_px,arc_defl_flux,arc_contrast,flag_off_center,flag_no_arc,flag_two_light,flag_theta_mismatch,flag_tiny_theta
0,0,2.012,2.5,13.8,0.689,1,0.458,6,36.7,0.1603,60.7,0,0,0,0,0
1,1,1.143,2.7,9.9,0.497,4,0.542,3,20.8,0.1388,18.1,0,0,0,0,0
2,2,0.937,4.3,15.8,0.789,4,0.625,3,17.7,0.6556,153.0,0,0,0,0,0
3,3,0.415,1.3,13.3,0.666,11,0.292,1,6.2,0.0396,7.3,0,0,1,0,0
4,4,1.971,1.1,12.3,0.617,0,0.708,5,39.4,0.1495,60.9,0,0,0,0,0
5,5,1.107,0.5,10.8,0.539,6,0.375,3,28.6,0.4704,39.5,0,0,0,0,0
6,6,1.347,5.7,12.8,0.642,2,0.625,5,25.8,0.2978,105.6,0,0,0,0,0
7,7,2.779,0.8,15.5,0.774,0,0.458,7,50.1,0.2103,114.3,0,0,0,0,0
8,8,1.443,2.2,13.5,0.675,2,0.417,6,31.1,0.498,49.0,0,0,0,0,0
9,9,1.432,3.4,16.1,0.806,1,0.417,3,26.0,1.1344,66.5,0,0,0,0,0
10,10,0.617,1.5,7.9,0.397,3,0.417,1,9.2,0.0595,11.8,0,0,0,0,0
11,11,0.413,30.1,17.6,0.88,9,0.5,3,8.5,0.0478,19.1,1,0,0,0,0
12,12,0.936,4.9,17.2,0.862,8,0.708,4,19.6,0.9688,176.4,0,0,0,0,0
13,13,0.592,0.8,8.7,0.435,4,0.25,1,9.2,0.038,8.8,0,0,0,0,0
14,14,0.925,1.7,11.4,0.571,6,0.75,3,19.3,0.2189,89.9,0,0,0,0,0
15,15,0.563,1.9,11.2,0.561,4,0.583,2,10.8,0.1484,24.9,0,0,0,0,0
16,16,0.918,12.6,17.6,0.882,2,0.625,3,19.3,2.6939,74.6,0,0,0,0,0
17,17,0.786,3.9,12.2,0.611,10,0.625,2,16.5,0.633,86.6,0,0,0,0,0
18,18,0.861,1.4,9.2,0.458,2,0.375,2,16.6,0.1643,11.1,0,0,0,0,0
19,19,1.505,1.2,12.7,0.633,0,0.25,3,24.2,0.0547,31.5,0,0,0,0,0
20,20,2.036,2.2,10.1,0.507,0,0.417,4,34.8,0.3213,55.0,0,0,0,0,0
21,21,0.597,4.6,10.5,0.525,8,0.5,1,12.7,0.3646,128.6,0,0,0,0,0
22,22,1.958,4.1,11.8,0.591,1,0.542,6,35.5,0.299,170.7,0,0,0,0,0
23,23,1.374,3.0,10.9,0.543,1,0.5,3,28.3,0.2707,172.3,0,0,0,0,0
24,24,1.307,2.9,11.7,0.585,3,0.667,6,28.5,0.1681,48.0,0,0,0,0,0
25,25,1.877,1.8,11.2,0.558,0,0.792,12,36.9,0.8294,425.4,0,0,0,0,0
26,26,0.645,5.6,14.2,0.709,6,0.75,2,13.3,1.1109,60.4,0,0,0,0,0
27,27,0.631,2.7,11.3,0.564,3,0.542,1,11.3,0.1562,43.7,0,0,0,0,0
28,28,1.99,11.0,15.6,0.778,0,0.75,9,35.7,0.522,161.5,0,0,0,0,0
29,29,1.46,2.5,14.8,0.738,0,0.5,4,29.8,0.2014,68.8,0,0,0,0,0
30,30,0.7,1.1,14.5,0.726,2,0.167,1,18.6,0.1962,46.6,0,0,1,0,0
31,31,0.677,6.4,12.2,0.609,5,0.5,1,14.6,0.8,109.5,0,0,0,0,0
32,32,0.339,10.6,15.4,0.769,5,0.458,2,7.7,9.0145,59.5,0,0,0,0,0
33,33,0.958,5.4,14.5,0.724,5,0.667,3,20.0,1.0859,261.0,0,0,0,0,0
34,34,1.067,3.4,6.6,0.329,3,0.417,4,20.8,0.0494,14.8,0,0,0,0,0
35,35,0.505,1.5,7.1,0.353,9,0.458,2,6.7,0.0233,9.4,0,0,0,0,0
36,36,1.31,6.7,13.4,0.672,1,0.833,7,26.3,0.5497,135.3,0,0,0,0,0
37,37,0.39,2.4,12.4,0.621,3,0.542,1,8.1,0.253,21.4,0,0,0,0,0
38,38,0.474,1.3,8.5,0.423,3,0.5,3,7.8,0.0354,6.9,0,0,0,0,0
39,39,1.013,0.7,12.7,0.635,2,0.25,2,26.8,0.3151,31.3,0,0,1,0,0
40,40,3.636,1.6,11.3,0.565,2,0.417,5,33.6,2.0092,213.1,0,0,0,0,0
41,41,1.029,6.0,14.1,0.707,6,0.667,5,21.7,0.3408,60.5,0,0,0,0,0
42,42,2.588,8.4,20.2,1.009,0,0.708,10,39.0,0.9308,211.0,0,0,0,0,0
43,43,0.756,5.5,8.5,0.424,7,0.542,3,12.0,0.3603,77.8,0,0,0,0,0
44,44,1.34,5.4,14.6,0.731,3,0.542,4,26.0,0.4492,74.7,0,0,0,0,0
45,45,0.619,1.3,9.7,0.486,2,0.458,1,9.7,0.0563,12.8,0,0,0,0,0
46,46,3.394,4.7,17.1,0.854,3,0.542,4,23.7,0.8202,154.8,0,0,0,0,0
47,47,1.403,5.6,11.2,0.56,4,0.833,9,28.2,0.3826,117.1,0,0,0,0,0
48,48,0.801,6.3,12.9,0.644,7,0.583,4,14.1,2.6553,130.1,0,0,0,0,0
49,49,1.968,5.7,17.8,0.892,3,0.792,9,36.8,0.8353,145.4,0,0,0,0,0
50,50,2.019,2.5,14.2,0.711,2,0.875,13,42.1,0.7357,195.5,0,0,0,0,0
51,51,1.789,2.0,11.9,0.594,2,0.625,9,40.2,0.5263,96.1,0,0,0,0,0
52,52,0.715,2.3,13.0,0.648,11,0.292,2,13.6,0.0326,5.7,0,0,1,0,0
53,53,2.751,1.4,16.2,0.808,0,0.458,6,43.4,0.5098,199.9,0,0,0,0,0
54,54,0.591,1.1,8.7,0.436,4,0.292,1,9.6,0.0198,6.3,0,0,1,0,0
55,55,1.221,7.6,14.9,0.747,4,0.875,8,25.8,0.6513,125.9,0,0,0,0,0
56,56,1.233,4.4,10.5,0.526,5,0.5,3,24.4,0.4508,145.8,0,0,0,0,0
57,57,0.98,22.0,18.3,0.915,7,0.792,5,19.6,2.0143,138.1,0,0,0,0,0
58,58,0.706,6.6,13.7,0.684,1,0.542,2,15.3,0.923,74.8,0,0,0,0,0
59,59,0.977,1.9,13.7,0.684,5,0.458,2,20.0,0.334,69.7,0,0,0,0,0
60,60,2.896,1.7,10.9,0.544,0,0.292,3,46.1,0.2594,222.6,0,0,0,0,0
61,61,1.812,7.0,16.6,0.832,1,0.833,11,37.6,0.7925,311.9,0,0,0,0,0
62,62,0.957,8.7,12.9,0.643,5,0.583,3,17.3,0.7214,74.5,0,0,0,0,0
63,63,0.384,2.1,9.1,0.457,3,0.5,1,8.0,0.4378,26.6,0,0,0,0,0
64,64,0.841,2.3,11.8,0.589,4,0.708,6,16.9,0.3698,113.0,0,0,0,0,0
65,65,1.884,0.9,12.5,0.623,0,0.667,7,39.1,0.1883,151.6,0,0,0,0,0
66,66,0.354,1.0,6.5,0.323,5,0.5,2,7.5,0.2165,16.4,0,0,0,0,0
67,67,1.105,2.7,10.3,0.517,3,0.25,3,22.8,0.3216,62.8,0,0,1,0,0
68,68,1.38,1.8,14.9,0.746,3,0.708,9,27.4,0.2693,57.3,0,0,0,0,0
69,69,1.737,5.3,12.1,0.605,0,0.375,4,36.8,1.1866,114.4,0,0,0,0,0
70,70,2.184,4.5,14.2,0.708,0,0.5,7,34.1,0.2603,115.2,0,0,0,0,0
71,71,0.852,2.8,10.1,0.507,2,0.5,3,16.3,0.057,23.8,0,0,0,0,0
72,72,0.98,0.5,10.3,0.515,4,0.417,3,22.8,0.1717,81.1,0,0,0,0,0
73,73,0.838,15.7,20.2,1.009,3,0.667,4,18.9,8.158,108.0,0,0,0,0,0
74,74,0.791,7.7,16.9,0.844,3,0.667,4,16.3,1.657,99.0,0,0,0,0,0
75,75,0.602,3.0,12.5,0.627,5,0.708,2,12.4,0.57,92.8,0,0,0,0,0
76,76,1.082,2.2,14.5,0.725,7,0.625,4,22.0,0.7478,177.3,0,0,0,0,0
77,77,1.633,4.0,13.8,0.689,0,0.708,12,36.9,1.0384,214.0,0,0,0,0,0
78,78,1.952,2.5,11.3,0.563,1,0.75,11,41.2,0.6533,176.1,0,0,0,0,0
79,79,0.6,7.0,11.6,0.578,6,0.583,2,12.4,0.7904,88.6,0,0,0,0,0
80,80,2.218,0.8,14.4,0.721,0,0.5,7,32.9,0.4839,59.7,0,0,0,0,0
81,81,1.22,3.8,14.1,0.706,5,0.625,7,30.3,0.5811,298.7,0,0,0,0,0
82,82,0.905,3.3,12.3,0.614,1,0.708,5,17.8,0.4669,116.6,0,0,0,0,0
83,83,0.944,1.4,8.3,0.413,2,0.333,3,14.3,0.1436,29.0,0,0,0,0,0
84,84,0.35,1.7,10.3,0.514,8,0.542,2,6.1,0.0785,14.5,0,0,0,0,0
85,85,1.061,1.9,13.9,0.695,3,0.5,5,24.7,0.178,26.4,0,0,0,0,0
86,86,2.378,0.6,8.0,0.401,0,0.333,2,39.9,0.0088,5.2,0,0,0,0,0
87,87,1.992,7.7,13.4,0.669,0,0.792,9,40.8,0.5906,160.4,0,0,0,0,0
88,88,0.299,2.4,10.7,0.535,2,0.417,1,5.8,0.2244,14.0,0,0,0,0,0
89,89,0.668,3.0,9.6,0.481,2,0.5,3,13.0,0.1511,17.6,0,0,0,0,0
90,90,0.542,2.1,13.5,0.674,9,0.583,2,11.7,0.6902,120.6,0,0,0,0,0
91,91,1.128,6.1,12.5,0.624,6,0.542,3,21.3,0.4049,56.1,0,0,0,0,0
92,92,1.591,11.2,12.9,0.647,4,0.75,10,35.0,1.035,443.9,0,0,0,0,0
93,93,1.944,2.3,13.9,0.695,1,0.625,9,33.5,0.1325,35.1,0,0,0,0,0
94,94,3.304,1.9,11.3,0.564,0,0.583,9,37.2,0.9681,98.1,0,0,0,0,0
95,95,0.482,7.4,12.4,0.619,4,0.542,2,10.5,2.483,57.7,0,0,0,0,0
96,96,2.855,2.1,11.0,0.551,0,0.25,5,48.1,0.06,58.1,0,0,0,0,0
97,97,0.382,29.6,18.6,0.932,9,0.5,2,6.3,0.0552,18.4,1,0,0,0,0
98,98,0.716,1.4,9.9,0.493,6,0.458,1,10.5,0.0133,6.8,0,0,0,0,0
99,99,2.057,0.7,10.0,0.501,0,0.167,3,39.9,0.0158,7.3,0,0,0,0,0
100,100,1.265,5.1,13.7,0.683,2,0.667,5,25.0,0.6003,147.2,0,0,0,0,0
101,101,1.541,5.4,20.4,1.02,4,0.708,8,30.8,1.6449,139.7,0,0,0,0,0
102,102,0.421,0.7,9.4,0.471,6,0.542,1,6.5,0.0283,8.7,0,0,0,0,0
103,103,1.057,3.3,11.9,0.596,6,0.542,3,22.4,0.4034,59.4,0,0,0,0,0
104,104,2.519,1.2,8.1,0.407,1,0.708,12,46.9,0.5359,176.0,0,0,0,0,0
105,105,1.18,4.8,14.3,0.714,4,0.792,6,24.9,0.7896,205.3,0,0,0,0,0
106,106,0.872,0.4,15.7,0.785,7,0.542,3,19.1,0.4033,18.7,0,0,0,0,0
107,107,1.672,2.5,10.0,0.502,3,0.625,8,30.4,0.3522,64.5,0,0,0,0,0
108,108,2.068,20.2,19.2,0.958,3,0.5,2,35.4,0.5041,136.1,0,0,0,0,0
109,109,1.172,1.6,13.0,0.652,2,0.917,8,24.9,0.396,151.5,0,0,0,0,0
110,110,1.477,6.9,13.0,0.652,0,0.583,6,30.4,0.6868,130.6,0,0,0,0,0
111,111,1.111,4.6,17.4,0.872,2,0.667,8,25.7,0.9506,114.8,0,0,0,0,0
112,112,2.05,3.6,12.2,0.61,0,0.833,12,40.4,0.5735,281.8,0,0,0,0,0
113,113,1.093,5.5,12.4,0.622,1,0.583,5,22.2,0.4702,29.8,0,0,0,0,0
114,114,2.084,8.3,13.4,0.671,0,0.667,5,40.6,0.4433,185.1,0,0,0,0,0
115,115,0.671,10.9,16.8,0.839,5,0.583,2,14.8,5.6596,101.3,0,0,0,0,0
116,116,0.482,10.5,13.8,0.691,6,0.542,2,10.6,15.1328,105.8,0,0,0,0,0
117,117,1.989,34.0,10.4,0.519,4,0.5,5,31.9,0.8118,91.1,1,0,0,0,0
118,118,0.846,1.4,8.6,0.428,5,0.167,2,14.1,0.0125,3.5,0,0,1,0,0
119,119,1.622,0.4,10.9,0.546,2,0.417,5,28.1,0.1202,77.9,0,0,0,0,0
120,120,2.775,5.6,12.9,0.647,0,0.417,7,42.4,0.1378,77.8,0,0,0,0,0
121,121,0.687,1.7,12.2,0.612,4,0.292,1,10.6,0.0801,11.2,0,0,1,0,0
122,122,1.093,3.5,12.5,0.626,2,0.625,5,19.2,0.2053,65.9,0,0,0,0,0
123,123,0.792,4.3,15.1,0.753,7,0.583,2,15.5,0.8216,121.3,0,0,0,0,0
124,124,0.736,2.6,9.7,0.484,4,0.125,1,9.2,0.0029,3.5,0,1,1,0,0
125,125,0.976,3.3,9.8,0.49,2,0.583,3,18.2,0.2167,51.3,0,0,0,0,0
126,126,1.447,0.8,7.8,0.389,3,0.167,2,39.0,0.0122,11.6,0,0,0,0,0
127,127,2.71,3.3,12.5,0.624,0,0.458,7,41.4,0.1035,51.6,0,0,0,0,0
128,128,0.839,7.3,16.1,0.804,7,0.708,2,17.8,0.9545,113.6,0,0,0,0,0
129,129,0.57,1.4,9.8,0.488,5,0.417,1,9.2,0.0298,7.1,0,0,0,0,0
130,130,0.581,8.8,13.6,0.682,4,0.5,1,12.4,3.6264,176.2,0,0,0,0,0
131,131,0.632,3.4,8.5,0.423,0,0.542,2,13.0,0.2765,46.3,0,0,0,0,0
132,132,0.754,6.4,13.2,0.659,7,0.5,2,13.0,0.3082,32.9,0,0,0,0,0
133,133,0.666,3.8,13.2,0.66,4,0.625,2,12.3,0.3972,94.0,0,0,0,0,0
134,134,0.658,1.8,8.6,0.431,5,0.458,1,13.2,0.2962,75.1,0,0,0,0,0
135,135,1.284,5.1,14.0,0.698,3,0.708,4,24.8,0.5191,414.2,0,0,0,0,0
136,136,1.588,5.9,14.8,0.739,2,0.458,4,30.7,1.006,101.4,0,0,0,0,0
137,137,0.51,2.1,11.8,0.589,6,0.458,1,8.0,0.1416,14.3,0,0,0,0,0
138,138,0.801,4.9,12.7,0.635,7,0.667,2,15.3,0.3943,40.2,0,0,0,0,0
139,139,1.402,0.8,6.8,0.339,0,0.25,4,31.2,0.0685,9.1,0,0,0,0,0
140,140,3.61,10.3,16.9,0.844,5,0.625,2,13.4,3.6036,144.0,0,0,0,0,0
141,141,1.544,5.8,19.0,0.952,2,0.542,5,33.0,1.5529,93.0,0,0,0,0,0
142,142,1.004,38.5,16.7,0.837,5,0.542,4,20.6,1.9823,95.4,1,0,0,0,0
143,143,1.651,4.9,12.8,0.639,2,0.667,10,30.3,0.1449,108.1,0,0,0,0,0
144,144,1.41,2.2,11.9,0.595,1,0.583,4,28.4,0.3366,209.8,0,0,0,0,0
145,145,0.758,1.4,15.9,0.794,3,0.458,4,18.4,0.0534,6.4,0,0,0,0,0
146,146,0.856,3.3,12.5,0.624,6,0.667,5,16.6,0.2342,43.9,0,0,0,0,0
147,147,0.794,2.6,12.8,0.638,3,0.583,2,14.9,0.4314,70.3,0,0,0,0,0
148,148,1.247,1.1,9.6,0.48,6,0.292,3,23.0,0.159,63.4,0,0,0,0,0
149,149,1.022,3.6,10.4,0.522,3,0.417,2,18.1,0.2047,38.4,0,0,0,0,0
150,150,2.255,1.3,11.6,0.579,0,0.292,3,57.7,0.2646,83.0,0,0,0,0,0
151,151,0.64,1.6,13.5,0.677,8,0.708,4,13.3,0.3346,42.5,0,0,0,0,0
152,152,2.88,1.7,12.0,0.602,0,0.292,5,45.3,0.0609,52.1,0,0,0,0,0
153,153,2.126,2.0,12.8,0.641,0,0.542,8,43.0,0.5572,174.1,0,0,0,0,0
154,154,0.484,11.2,15.1,0.754,2,0.542,2,10.7,6.7988,50.5,0,0,0,0,0
155,155,0.742,1.1,15.6,0.782,6,0.708,5,16.4,0.1697,15.1,0,0,0,0,0
156,156,1.57,1.6,13.2,0.662,2,0.583,5,27.3,0.3737,169.3,0,0,0,0,0
157,157,2.259,12.0,16.0,0.802,0,0.833,7,37.0,0.3949,126.3,0,0,0,0,0
158,158,0.253,2.8,12.7,0.637,10,0.5,1,5.5,0.8388,25.5,0,0,0,0,0
159,159,0.644,1.8,11.2,0.559,11,0.417,2,12.3,0.0918,13.2,0,0,0,0,0
160,160,0.444,3.4,8.1,0.405,1,0.5,3,7.5,0.1151,24.6,0,0,0,0,0
161,161,1.053,2.9,10.8,0.542,0,0.042,1,17.0,0.0045,4.0,0,1,0,0,0
162,162,0.8,2.5,14.1,0.705,1,0.5,4,19.3,0.2052,30.7,0,0,0,0,0
163,163,1.85,1.7,7.2,0.359,1,0.542,6,43.8,0.7363,91.0,0,0,0,0,0
164,164,0.994,2.9,10.5,0.523,4,0.542,3,14.5,0.0525,14.8,0,0,0,0,0
165,165,0.508,1.7,10.5,0.526,11,0.542,4,9.7,0.1427,16.6,0,0,0,0,0
166,166,0.579,3.3,14.1,0.704,4,0.625,4,13.1,0.8083,39.7,0,0,0,0,0
167,167,0.98,2.7,17.6,0.88,3,0.583,4,20.8,0.9253,166.4,0,0,0,0,0
168,168,0.367,9.9,15.1,0.755,7,0.542,1,8.0,4.3203,98.8,0,0,0,0,0
169,169,2.176,1.8,9.1,0.455,1,0.417,6,39.1,0.4835,117.4,0,0,0,0,0
170,170,0.552,4.4,15.0,0.752,10,0.458,1,11.3,0.411,43.2,0,0,0,0,0
171,171,1.143,18.7,20.8,1.042,9,0.625,4,24.4,4.7351,90.3,0,0,0,0,0
172,172,1.265,5.5,11.7,0.585,4,0.625,7,24.8,0.3319,78.2,0,0,0,0,0
173,173,1.965,11.3,22.2,1.111,1,0.667,6,34.1,1.6264,347.0,0,0,0,0,0
174,174,0.337,0.9,8.9,0.446,4,0.5,3,5.9,0.0531,7.6,0,0,0,0,0
175,175,1.099,12.2,12.5,0.626,6,0.667,3,21.2,0.881,123.2,0,0,0,0,0
176,176,0.33,1.2,18.2,0.912,6,0.333,2,4.8,0.0444,6.0,0,0,0,0,0
177,177,1.779,0.6,7.7,0.384,3,0.292,4,41.4,1.3299,107.2,0,0,1,0,0
178,178,1.372,1.3,21.1,1.054,4,0.5,4,27.6,3.1031,50.9,0,0,0,0,0
179,179,0.816,12.4,15.0,0.749,5,0.458,3,15.8,3.0264,67.1,0,0,0,0,0
180,180,0.966,7.2,13.0,0.652,6,0.667,3,18.9,0.3375,37.6,0,0,0,0,0
181,181,2.193,1.4,11.6,0.58,0,0.375,8,49.6,0.0581,10.9,0,0,0,0,0
182,182,1.168,4.6,13.3,0.665,4,0.542,7,26.2,0.4783,105.1,0,0,0,0,0
183,183,0.59,2.3,9.8,0.49,4,0.5,3,9.5,0.0478,12.1,0,0,0,0,0
184,184,1.532,3.8,11.6,0.582,1,0.583,4,26.8,0.3448,164.9,0,0,0,0,0
185,185,1.132,3.3,14.6,0.731,1,0.75,4,23.2,0.3493,29.3,0,0,0,0,0
186,186,0.764,1.5,7.9,0.397,9,0.208,2,21.1,0.0281,8.2,0,0,1,0,0
187,187,0.34,4.0,12.9,0.646,5,0.5,1,7.3,0.9434,61.8,0,0,0,0,0
188,188,3.385,2.2,13.0,0.65,0,0.417,9,33.6,0.3492,100.9,0,0,0,0,0
189,189,1.867,3.0,12.5,0.623,1,0.583,7,36.0,0.6863,231.7,0,0,0,0,0
190,190,1.219,3.0,17.8,0.889,9,0.667,8,24.6,0.8798,218.8,0,0,0,0,0
191,191,0.949,0.2,16.5,0.824,5,0.667,7,20.7,0.5219,109.0,0,0,0,0,0
192,192,1.276,1.4,8.8,0.441,2,0.333,3,32.9,0.2618,43.8,0,0,0,0,0
193,193,1.883,2.3,12.4,0.62,1,0.667,10,40.9,0.273,121.4,0,0,0,0,0
194,194,0.418,52.2,2.8,0.141,8,0.667,2,6.2,0.0239,30.7,1,0,0,0,0
195,195,1.663,20.3,20.5,1.024,1,0.708,7,32.1,1.6197,145.8,0,0,0,0,0
196,196,0.794,3.2,10.2,0.512,9,0.542,3,13.2,0.4509,152.6,0,0,0,0,0
197,197,0.532,11.0,12.5,0.624,9,0.458,1,11.4,3.4939,117.1,0,0,0,0,0
198,198,1.471,1.4,10.6,0.532,5,0.542,7,28.9,0.2149,35.7,0,0,0,0,0
199,199,0.406,1.5,7.0,0.352,2,0.292,1,6.4,0.0238,6.3,0,0,1,0,0
