coord,ra,dec
001423.02-302109.8,3.595917,-30.352722
001426.26-302255.9,3.609417,-30.382194
011018.22+193819.5,17.575917,19.63875
084710.65+344826.4,131.794375,34.807333
095139.44+684731.2,147.914333,68.792
103751.40-124327.5,159.464167,-12.724306
122332.64-123940.3,185.886,-12.661194
130042.73+280523.3,195.178042,28.089806
140237.11+542716.4,210.654625,54.454556
140339.94+541633.3,210.916417,54.275917
171817.43+593146.4,259.572625,59.529556
221501.12-135822.9,333.754667,-13.973028
235130.60-261459.7,357.8775,-26.249917
