jname,ra_deg,dec_deg,source
J0837,129.255049,8.021653,SIMBAD [OAF2017] EEL Jxxxx system (Oldham/Auger/Fassnacht 2017)
J0901,135.338542,20.461225,SIMBAD [OAF2017] EEL Jxxxx system (Oldham/Auger/Fassnacht 2017)
J1125,171.307875,30.968219,SIMBAD [OAF2017] EEL Jxxxx system (Oldham/Auger/Fassnacht 2017)
J1144,176.118333,15.6776,SIMBAD [OAF2017] EEL Jxxxx system (Oldham/Auger/Fassnacht 2017)
J1218,184.52775,56.801423,SIMBAD [OAF2017] EEL Jxxxx system (Oldham/Auger/Fassnacht 2017)
J1323,200.996125,39.7759,SIMBAD [OAF2017] EEL Jxxxx system (Oldham/Auger/Fassnacht 2017)
J1347,206.770667,-1.017658,SIMBAD [OAF2017] EEL Jxxxx system (Oldham/Auger/Fassnacht 2017)
J1446,221.625806,38.94899,SIMBAD [OAF2017] EEL Jxxxx system (Oldham/Auger/Fassnacht 2017)
J1605,241.34706,38.198332,SIMBAD [OAF2017] EEL Jxxxx system (Oldham/Auger/Fassnacht 2017)
J1606,241.529557,22.58651,SIMBAD [OAF2017] EEL Jxxxx system (Oldham/Auger/Fassnacht 2017)
J1619,244.802625,20.407769,SIMBAD [OAF2017] EEL Jxxxx system (Oldham/Auger/Fassnacht 2017)
J2228,337.170088,-0.304665,SIMBAD [OAF2017] EEL Jxxxx system (Oldham/Auger/Fassnacht 2017)
