name,mag,re,mag_aper,aper_frac
J0008-0004,18.66,1.71,19.321,0.544
J0029-0055,17.202,2.16,18.002,0.479
J0037-0942,16.308,2.19,17.117,0.475
J0044+0113,15.66,2.61,16.583,0.427
J0109+1500,17.826,1.38,18.375,0.603
J0157-0056,18.648,1.06,19.076,0.675
J0216-0813,17.035,2.67,17.973,0.421
J0252+0039,17.897,1.39,18.45,0.601
J0330-0020,18.1,1.2,18.582,0.642
J0405-0455,16.561,1.36,17.102,0.607
J0728+3835,16.837,1.78,17.521,0.532
J0737+3216,17.051,2.82,18.027,0.407
J0822+2652,17.09,1.82,17.787,0.526
J0841+3824,15.471,4.21,16.75,0.308
J0903+4116,17.994,1.78,18.678,0.532
J0912+0029,15.629,3.87,16.84,0.328
J0935-0003,16.875,4.24,18.16,0.306
J0936+0913,16.618,2.11,17.403,0.485
J0946+1006,17.049,2.35,17.902,0.456
J0955+0101,18.002,1.09,18.441,0.667
J0956+5100,16.608,2.19,17.417,0.475
J0959+4416,16.999,1.98,17.746,0.503
J0959+0410,16.743,1.39,17.296,0.601
J1016+3859,16.75,1.46,17.328,0.588
J1020+1122,17.301,1.59,17.923,0.564
J1023+4230,16.82,1.77,17.501,0.534
J1029+0420,16.184,1.56,16.796,0.569
J1032+5322,17.023,0.81,17.345,0.743
J1100+5329,17.231,2.24,18.054,0.469
J1103+5322,16.425,1.95,17.163,0.507
J1106+5228,15.618,1.68,16.27,0.549
J1112+0826,17.188,1.5,17.78,0.58
J1134+6027,16.497,2.02,17.255,0.497
J1142+1001,17.232,1.91,17.958,0.513
J1143-0144,14.939,4.8,16.327,0.279
J1153+4612,17.274,1.16,17.741,0.651
J1204+0358,16.802,1.47,17.383,0.586
J1205+4910,16.664,2.59,17.581,0.429
J1213+6708,15.719,3.23,16.793,0.372
J1218+0830,15.862,3.18,16.925,0.376
J1250+0523,16.717,1.81,17.411,0.528
J1251-0208,17.342,2.61,18.265,0.427
J1402+6321,16.485,2.7,17.431,0.418
J1403+0006,15.469,1.46,16.047,0.588
J1416+5136,17.606,1.43,18.173,0.593
J1420+6019,15.162,2.06,15.933,0.492
J1430+4105,16.7,2.55,17.607,0.434
J1432+6317,15.395,5.85,16.956,0.238
J1436-0000,17.215,2.24,18.038,0.469
J1443+0304,17.076,0.94,17.454,0.706
J1451-0239,16.135,2.48,17.024,0.441
J1525+3327,17.199,2.9,18.195,0.4
J1531-0105,16.174,2.5,17.068,0.439
J1538+5817,16.664,1.58,17.283,0.566
J1621+3931,16.89,2.14,17.684,0.481
J1627-0053,16.951,1.98,17.698,0.503
J1630+4520,16.803,1.96,17.543,0.506
J1636+4707,17.069,1.68,17.721,0.549
J2238-0754,16.265,2.33,17.112,0.458
J2300+0022,17.165,1.83,17.865,0.525
J2303+1422,16.21,3.28,17.295,0.368
J2321-0939,14.788,4.11,16.048,0.313
J2341+0000,16.355,3.15,17.411,0.378
