name,ra_deg,dec_deg,theta_E_pub,q_pub,survey,src_table
G4_0000,211.31967,13.89483,0.0,0.0,LRGDEFL2,prop12210_vd193_ve12_z0.133
G4_0001,140.17562,36.08900,0.0,0.0,LRGDEFL2,prop12210_vd248_ve14_z0.184
G4_0002,228.63725,32.99578,0.0,0.0,LRGDEFL2,prop12210_vd201_ve9_z0.112
G4_0003,134.48333,53.64550,0.0,0.0,LRGDEFL2,prop12210_vd215_ve9_z0.088
G4_0004,332.48721,-7.91331,0.0,0.0,LRGDEFL2,prop10587_vd230_ve16_z0.111
G4_0005,223.07896,-0.97228,0.0,0.0,LRGDEFL2,prop10587_vd195_ve12_z0.177
G4_0006,198.36129,5.11589,0.0,0.0,LRGDEFL2,prop10587_vd252_ve16_z0.144
G4_0007,119.64450,30.57869,0.0,0.0,LRGDEFL2,prop10587_vd195_ve8_z0.116
G4_0008,194.62037,-2.99444,0.0,0.0,LRGDEFL2,prop12210_vd152_ve9_z0.111
G4_0009,153.21575,55.52367,0.0,0.0,LRGDEFL2,prop12210_vd204_ve9_z0.171
G4_0010,329.41192,0.07136,0.0,0.0,LRGDEFL2,prop12210_vd179_ve14_z0.144
G4_0011,197.71425,2.33611,0.0,0.0,LRGDEFL2,prop12210_vd66_ve26_z0.067
G4_0012,135.68588,51.97572,0.0,0.0,LRGDEFL2,prop12210_vd256_ve9_z0.137
G4_0013,345.89656,0.61758,0.0,0.0,LRGDEFL2,prop12209_vd260_ve30_z0.458
G4_0014,6.50775,-0.99611,0.0,0.0,LRGDEFL2,prop12210_vd73_ve20_z0.092
G4_0015,242.43350,18.08453,0.0,0.0,LRGDEFL2,prop12210_vd224_ve11_z0.150
G4_0016,185.30530,-2.34384,0.0,0.0,LRGDEFL2,prop12209_vd277_ve39_z0.406
G4_0017,208.07909,32.28107,0.0,0.0,LRGDEFL2,prop12209_vd163_ve25_z0.463
G4_0018,125.37770,37.55852,0.0,0.0,LRGDEFL2,prop12209_vd228_ve26_z0.506
G4_0019,157.93304,42.31647,0.0,0.0,LRGDEFL2,prop12210_vd222_ve38_z0.119
G4_0020,131.97908,29.42567,0.0,0.0,LRGDEFL2,prop12210_vd230_ve9_z0.100
G4_0021,167.07375,2.87814,0.0,0.0,LRGDEFL2,prop10587_vd186_ve13_z0.137
G4_0022,222.24271,-1.27075,0.0,0.0,LRGDEFL2,prop10587_vd186_ve9_z0.147
G4_0023,177.74183,29.73833,0.0,0.0,LRGDEFL2,prop12210_vd223_ve14_z0.235
G4_0024,123.31642,9.99808,0.0,0.0,LRGDEFL2,prop12210_vd198_ve13_z0.157
G4_0025,235.25316,41.51632,0.0,0.0,LRGDEFL2,prop10886_vd195_ve11_z0.142
G4_0026,256.51534,33.06694,0.0,0.0,LRGDEFL2,prop10886_vd221_ve12_z0.168
G4_0027,182.99479,45.84350,0.0,0.0,LRGDEFL2,prop10886_vd231_ve8_z0.111
G4_0028,336.40558,12.99933,0.0,0.0,LRGDEFL2,prop10886_vd241_ve25_z0.310
G4_0029,161.52887,41.85447,0.0,0.0,LRGDEFL2,prop10886_vd188_ve10_z0.103
G4_0030,130.34064,50.28899,0.0,0.0,LRGDEFL2,prop12209_vd190_ve24_z0.554
G4_0031,179.77275,54.79397,0.0,0.0,LRGDEFL2,prop10886_vd226_ve8_z0.082
G4_0032,215.57812,2.05453,0.0,0.0,LRGDEFL2,prop12210_vd171_ve9_z0.110
G4_0033,202.06333,1.94250,0.0,0.0,LRGDEFL2,prop12210_vd154_ve8_z0.117
G4_0034,14.52804,-10.33703,0.0,0.0,LRGDEFL2,prop12210_vd295_ve23_z0.309
G4_0035,188.61662,-2.69156,0.0,0.0,LRGDEFL2,prop12209_vd128_ve35_z0.490
G4_0036,33.06167,0.45531,0.0,0.0,LRGDEFL2,prop12209_vd228_ve41_z0.537
G4_0037,236.26490,27.80150,0.0,0.0,LRGDEFL2,prop12209_vd237_ve36_z0.522
G4_0038,159.99075,9.56419,0.0,0.0,LRGDEFL2,prop10587_vd254_ve14_z0.221
G4_0039,130.22573,50.86475,0.0,0.0,LRGDEFL2,prop12209_vd195_ve32_z0.554
G4_0040,235.32733,18.20975,0.0,0.0,LRGDEFL2,prop12209_vd187_ve27_z0.560
G4_0041,243.84813,20.94342,0.0,0.0,LRGDEFL2,prop12209_vd215_ve36_z0.589
G4_0042,221.57742,49.72692,0.0,0.0,LRGDEFL2,prop12210_vd215_ve13_z0.173
G4_0043,172.32025,19.89667,0.0,0.0,LRGDEFL2,prop12210_vd231_ve16_z0.132
G4_0044,129.36258,49.61769,0.0,0.0,LRGDEFL2,prop12209_vd144_ve29_z0.551
G4_0045,131.21342,21.22122,0.0,0.0,LRGDEFL2,prop12210_vd257_ve15_z0.178
G4_0046,240.30533,21.64276,0.0,0.0,LRGDEFL2,prop12209_vd278_ve32_z0.543
G4_0047,185.46633,38.10292,0.0,0.0,LRGDEFL2,prop12209_vd219_ve49_z0.535
