name,ra_deg,dec_deg,theta_E_pub,q_pub,survey,src_table
G4B_00000,189.17724,26.06448,0.0,0.0,LRGDEFL2B,tierA|vd=251+-11|z=0.223|WFC3UVIS|19550s|P--
G4B_00001,41.64464,-8.44132,0.0,0.0,LRGDEFL2B,tierA|vd=288+-11|z=0.191|WFC3UVIS|19360s|P--
G4B_00002,215.95197,24.08991,0.0,0.0,LRGDEFL2B,tierA|vd=325+-48|z=0.530|WFC3UVIS|16970s|P--
G4B_00003,215.94948,24.07846,0.0,0.0,LRGDEFL2B,tierA|vd=297+-39|z=0.546|WFC3UVIS|16970s|P--
G4B_00004,116.34854,39.51186,0.0,0.0,LRGDEFL2B,tierA|vd=284+-23|z=0.375|ACSWFC|15874s|P--
G4B_00005,208.39211,5.22661,0.0,0.0,LRGDEFL2B,tierA|vd=331+-21|z=0.262|WFC3UVIS|14720s|P15642
G4B_00006,219.52362,34.30934,0.0,0.0,LRGDEFL2B,tierA|vd=260+-25|z=0.546|ACSWFC|11485s|P--
G4B_00007,197.88617,-1.33293,0.0,0.0,LRGDEFL2B,tierA|vd=311+-9|z=0.202|ACSWFC|10740s|P11710
G4B_00008,197.88636,-1.32548,0.0,0.0,LRGDEFL2B,tierA|vd=257+-13|z=0.200|ACSWFC|10740s|P11710
G4B_00009,197.87623,-1.34144,0.0,0.0,LRGDEFL2B,tierA|vd=253+-15|z=0.174|ACSWFC|10740s|P11710
G4B_00010,149.99601,2.47327,0.0,0.0,LRGDEFL2B,tierA|vd=270+-31|z=0.348|ACSWFC|10140s|P--
G4B_00011,203.16005,50.56000,0.0,0.0,LRGDEFL2B,tierA|vd=323+-17|z=0.279|ACSWFC|10000s|P--
G4B_00012,9.26626,9.17475,0.0,0.0,LRGDEFL2B,tierA|vd=301+-20|z=0.261|ACSWFC|9620s|P--
G4B_00013,9.26482,9.17234,0.0,0.0,LRGDEFL2B,tierA|vd=297+-16|z=0.247|ACSWFC|9620s|P--
G4B_00014,9.27851,9.15670,0.0,0.0,LRGDEFL2B,tierA|vd=290+-16|z=0.249|ACSWFC|9620s|P--
G4B_00015,39.97136,-1.58222,0.0,0.0,LRGDEFL2B,tierA|vd=371+-46|z=0.373|ACSWFC|9600s|P11591
G4B_00016,139.47291,51.73371,0.0,0.0,LRGDEFL2B,tierA|vd=308+-12|z=0.225|ACSWFC|9120s|P--
G4B_00017,139.47258,51.72710,0.0,0.0,LRGDEFL2B,tierA|vd=282+-11|z=0.217|ACSWFC|9120s|P--
