rootname,source,ra,dec,t_min,exptime,proposal,status
jdxr58b3q,window_2020_213,41.62800508327,-30.34452696859,59075.99777850694,2109.0,15654,ok
je5610nzq,window_2020_213,40.44466666667,-8.403,59066.72834487,2080.0,15851,ok
je4n77z3q,window_2020_213,1.869758333333,35.13205555556,59075.54210588,2460.0,15902,ok
je4n29wsq,window_2020_213,13.22,43.19972222222,59081.69997761,2280.0,15902,ok
je4n52j4q,window_2020_213,22.33700153459,38.72457092535,59065.683854131945,2460.0,15902,ok
je5607khq,window_2020_213,40.44466666667,-8.403,59066.08120376,2080.0,15851,ok
je4n88esq,window_2020_213,351.6291666667,50.69194444444,59078.85115813,2250.0,15902,ok
je4n76ysq,window_2020_213,1.869692950184,35.13213541576,59075.40974591435,2460.0,15902,ok
jbtmaibbq,window_2013_220,189.2291666667,62.23833333333,56513.19780575,2236.0,12445,ok
jcau82ybq,window_2013_220,254.2225425204,-4.0199097507,56520.39019019676,648.0,13297,no_epsf_returned
jcau80xzq,window_2013_220,251.744043276,-1.868133361661,56520.323546493055,648.0,13297,no_epsf_returned
jc3f44w7q,window_2013_220,269.6984039044,-29.2580020244,56512.48258611111,700.0,13057,ok
jc3f46flq,window_2013_220,269.8176129167,-29.1976,56527.96635908,838.0,13057,ok
jcau1aigq,window_2013_279,289.1482083333,30.18347222222,56578.20283032,658.0,13297,no_epsf_returned
jc9701ppq,window_2013_279,3.22775,45.09885,56585.30539957176,2637.0,13375,ok
jc0a01hoq,window_2013_279,330.4849493591,-59.9510290996,56571.34386030093,2644.0,12817,ok
jc3f57jqq,window_2013_279,269.7533333333,-29.2,56580.76279551,820.0,13057,ok
jcdm19iwq,window_2013_279,24.25475662692,15.82591022018,56580.597239930554,1420.0,13364,ok
jc9y01jpq,window_2013_279,332.8506666667,0.1620805555556,56573.40285328,2200.0,13326,ok
jb5x11v9q,window_2010_216,53.2423987075,-27.84866641566,55413.79642725,5185.0,11563,ok
jb3h05kpq,window_2010_216,10.86993011905,41.11226356695,55439.49145019676,570.0,11647,no_epsf_returned
jb5l23r9q,window_2010_216,217.234916436,34.02348954317,55423.48939021,1500.0,11597,ok
jbf005eeq,window_2010_216,11.17377,41.92937222222,55415.58513095,1520.0,12056,ok
jb5x1baxq,window_2010_216,53.24518600203,-27.84868645569,55414.92846427083,5185.0,11563,ok
jb3h02wiq,window_2010_216,10.520625,41.43833333333,55440.95704058,1260.0,11647,ok
jb5x0ei7q,window_2010_216,53.24249915236,-27.84832299095,55417.79058243,5185.0,11563,ok
jdrw4ocyq,window_2021_285,87.11842916667,-47.75882222222,59527.43838630787,674.0,15444,ok
jdrweqe3q,window_2021_285,346.9536458333,22.71021944444,59528.015038275465,674.0,15444,ok
