name,theta_E_gt,in_support,tuning_burned
102018665_NEG570040238507752998,0.8488,1,1
102018665_NEG576731213511114485,1.0502,1,1
102018666_NEG579859279508531437,1.5824,1,1
102018667_NEG587746535508057234,0.8800,1,1
102018668_NEG595646727509469177,0.4654,1,1
102019123_NEG564667438505382529,1.6567,1,1
102019123_NEG567245233502945885,0.6760,1,1
102019126_NEG589666030505609975,0.6005,1,1
102019127_NEG596525941504553950,0.7016,1,1
102019127_NEG598523367504401932,1.4031,1,0
102019128_NEG607555025503027911,1.0867,1,0
102019128_NEG608928997504779012,0.7127,1,0
102019129_NEG617672661504204895,0.8573,1,0
102019131_NEG626148898503257561,1.0895,1,0
102019586_NEG564463213499964061,1.1593,1,0
102019588_NEG576940500501085311,0.7630,1,0
102019588_NEG579781735502176069,0.7552,1,0
102019588_NEG581189290502362418,0.6682,1,0
102019591_NEG601417531499600002,2.1855,1,0
102019592_NEG606434619500983922,0.6463,1,0
102019593_NEG612269334502356628,0.7788,1,0
102019594_NEG620978815501656388,0.8707,1,0
102019595_NEG630246532498667881,0.9619,1,0
102020054_NEG556215936492901652,0.6734,1,0
102020055_NEG563894315496088157,0.8119,1,0
102020055_NEG564676209494509344,1.3007,1,0
102020056_NEG568919155497446978,0.9509,1,0
102020056_NEG569381219495998178,0.6717,1,0
102020056_NEG571928631495947554,0.7701,1,0
102020056_NEG573379534495223440,0.7539,1,0
102020059_NEG590814898493650143,1.1224,1,0
102020059_NEG591341887496138046,0.6077,1,0
102020059_NEG595972740496354540,1.0902,1,0
102020060_NEG598920538496078263,0.8587,1,0
102020060_NEG604835509496532268,0.9870,1,0
102020061_NEG607087127495633316,1.2591,1,0
102020061_NEG608203827493491303,1.1254,1,0
102020061_NEG612388468493726389,1.1561,1,0
102020062_NEG617330086494647877,1.8556,1,0
102020063_NEG625857431494380658,0.5208,1,0
102020063_NEG626156743494681651,0.7958,1,0
102020064_NEG630441470494718517,1.1737,1,0
102020064_NEG635872258496841682,0.7523,1,0
102020065_NEG639706305497277844,0.0042,0,0
102020066_NEG645419324493086283,2.2942,1,0
102020528_NEG554976975487853956,0.9574,1,0
102020529_NEG564427129491602014,0.7177,1,0
102020530_NEG572303674490459976,1.5676,1,0
102020532_NEG584961967491933103,0.5934,1,0
102020532_NEG589257492489565961,1.2352,1,0
102020532_NEG591117402487550021,1.0923,1,0
102020532_NEG592320863488461402,0.6724,1,0
102020533_NEG596261344490617547,1.1614,1,0
102020534_NEG600985388487893328,0.6084,1,0
102020534_NEG604836154490669092,1.5289,1,0
102020534_NEG604929086489066527,1.0485,1,0
102020535_NEG608150353491434608,0.4097,0,0
102020536_NEG621645331488224037,1.0220,1,0
102020538_NEG631689440492354239,0.9006,1,0
102020538_NEG637045736489835935,0.7124,1,0
102020539_NEG639239120489296299,1.4518,1,0
102020539_NEG640534948489252606,0.8382,1,0
102020539_NEG641383802490968352,0.7150,1,0
102021006_NEG554672577486973111,0.8136,1,0
102021008_NEG569571426487440793,0.6999,1,0
102021009_NEG577024787484062221,2.2863,1,0
102021010_NEG581199679484613010,1.3187,1,0
102021012_NEG594963796484947260,1.8339,1,0
102021013_NEG602940269483238112,1.1319,1,0
102021013_NEG606090281487314103,0.9438,1,0
102021014_NEG610047486487275523,0.7550,1,0
102021014_NEG612545150486042170,1.0904,1,0
102021014_NEG614981615482506340,0.6206,1,0
102021014_NEG616133820483754774,1.8863,1,0
102021016_NEG627891706482718950,0.7299,1,0
102021016_NEG629685198482852633,2.2853,1,0
102021017_NEG633207820486535571,0.5857,1,0
102021017_NEG637928660482715254,1.1607,1,0
102021018_NEG640120110483854165,0.8960,1,0
102021019_NEG651956451483599583,0.9518,1,0
102021020_NEG656951229482999258,0.7694,1,0
102021492_NEG579460447477747720,1.4274,1,0
102021492_NEG580553783482399812,0.9578,1,0
102021493_NEG583380599480841946,0.9227,1,0
102021493_NEG584317889477816598,0.9831,1,0
102021493_NEG586398445479765591,0.8504,1,0
102021493_NEG587807121477852004,0.7406,1,0
102021496_NEG603335199478099381,0.4644,1,0
102021497_NEG611694459481354870,0.8987,1,0
102021497_NEG615658160478755691,0.4627,1,0
102021498_NEG620710751479897662,0.9136,1,0
102021499_NEG628042951482285714,1.4749,1,0
102021499_NEG630283151478334717,0.6704,1,0
102021499_NEG631323422479949628,1.0844,1,0
102021500_NEG636294430480333264,1.5851,1,0
102021500_NEG636868197478599642,0.7212,1,0
102021501_NEG641175215482169059,0.5317,1,0
102021501_NEG642870048480955813,0.8641,1,0
102021503_NEG655073934479995542,0.5195,1,0
102021504_NEG663164014479278882,0.7060,1,0
102021504_NEG664270221479670737,0.8429,1,0
102021504_NEG666846889481107505,1.1251,1,0
102021504_NEG669028748480810029,0.5498,1,0
102021978_NEG565786336477092595,0.4257,0,0
102021980_NEG576667803474825283,1.0805,1,0
102021980_NEG577646036477033395,0.7634,1,0
102021981_NEG583343318473770500,0.7576,1,0
102021981_NEG586493481476452509,1.0236,1,0
102021982_NEG593574657477168830,0.5563,1,0
102021982_NEG594322234473727139,0.8489,1,0
102021982_NEG594333174476368664,1.3418,1,0
102021984_NEG605671540476154903,1.1709,1,0
102021984_NEG609678648473892045,0.6712,1,0
102021984_NEG610367881474644147,1.0475,1,0
102021985_NEG615462575476067577,0.9004,1,0
102021985_NEG616063813472801324,0.4620,1,0
102021986_NEG619535738476339304,0.7463,1,0
102021986_NEG621796804473410288,0.7471,1,0
102021987_NEG632575884473969454,1.1158,1,0
102021988_NEG636381546474267847,0.5965,1,0
102021988_NEG640289253474412348,1.2361,1,0
102021989_NEG644172618476134973,0.7717,1,0
102021990_NEG651246796473086761,1.4465,1,0
102022474_NEG591186165469192016,0.4477,0,0
102022477_NEG611759342471748630,0.6875,1,0
102022477_NEG612993633468010321,0.9370,1,0
102022479_NEG621145334471255869,0.9378,1,0
102022479_NEG623150693471748758,0.4415,0,0
102022480_NEG630160205470193218,0.8594,1,0
102022481_NEG641874067471349140,0.7603,1,0
102022483_NEG653290299470260264,0.6831,1,0
102022484_NEG657584203469449092,1.2106,1,0
102022974_NEG610978759464405134,0.8323,1,0
102022977_NEG631763965463618343,0.8013,1,0
102022978_NEG639856435467273842,1.4038,1,0
102022980_NEG657082285467450951,0.9529,1,0
102022980_NEG657553777465731159,0.5659,1,0
102023476_NEG610025395461180513,1.4269,1,0
102023478_NEG628457640459296313,1.2082,1,0
102023479_NEG631968882458727056,0.7005,1,0
102023479_NEG633382827461467539,0.7241,1,0
102023480_NEG640021734460830824,0.5518,1,0
102023480_NEG640270096460844048,1.2361,1,0
102023480_NEG642201006461096820,0.8470,1,0
102023481_NEG647245161459048846,0.5002,1,0
102023482_NEG655179432459165110,0.5942,1,0
102023482_NEG657383017460972594,0.9176,1,0
102023984_NEG627804838454213106,0.7471,1,0
102023986_NEG643189719456460589,0.8082,1,0
102041656_NEG523359673301396466,0.7117,1,0
102041657_NEG527330118300603942,1.2910,1,0
102041657_NEG527925237298894414,0.8997,1,0
102041657_NEG529209996299100136,2.1398,1,0
102042283_NEG518770667295125494,0.7994,1,0
102042283_NEG520608563295081214,0.8858,1,0
102042284_NEG523902104295926900,2.2934,1,0
102042913_NEG515596854290228591,1.1952,1,0
102042913_NEG515847139291141021,0.6537,1,0
102042914_NEG522625262291125533,0.7006,1,0
102042914_NEG523479785291521247,0.8209,1,0
102042915_NEG527574180288799276,0.8155,1,0
102042915_NEG528545016288651034,0.0110,0,0
102042916_NEG533251142291509670,2.0191,1,0
102042917_NEG539279061291936993,1.1111,1,0
102042917_NEG540132584291926297,0.5251,1,0
102042917_NEG540926519290733004,0.8813,1,0
102042918_NEG544805259289548872,1.2541,1,0
102042919_NEG549525883291619345,1.0188,1,0
102042919_NEG550105155291238806,0.9245,1,0
102042919_NEG550683279289700727,0.8774,1,0
102043549_NEG530257443283430270,0.4708,1,0
102043551_NEG542774461286906112,1.2732,1,0
102043551_NEG544735665285502399,0.8693,1,0
102043551_NEG546245791286829440,0.9699,1,0
102043552_NEG548209510282510524,0.6128,1,0
102044182_NEG512061540278527911,0.9270,1,0
102044182_NEG514435270280350833,0.6442,1,0
102044183_NEG515787441281897369,0.7671,1,0
102044185_NEG529514172281460834,0.6250,1,0
102044186_NEG535621262280129063,0.8941,1,0
102044187_NEG538533000282255459,0.6261,1,0
102044187_NEG538575988280255664,1.0675,1,0
102044188_NEG544517310278613198,1.9380,1,0
102044188_NEG548070624278595332,0.9221,1,0
102044821_NEG509449559274572380,1.0567,1,0
102044823_NEG519310575275844311,1.0606,1,0
102044823_NEG519633334274259646,0.8094,1,0
102044824_NEG525230483273308137,0.9184,1,0
102044824_NEG528789191276364582,0.8737,1,0
102044825_NEG534081174272937149,1.0903,1,0
102044826_NEG537879168275630474,0.8978,1,0
102044826_NEG537893681272621987,1.6019,1,0
102045463_NEG510363299272415391,0.7532,1,0
102045464_NEG514418387268262939,0.7727,1,0
102045464_NEG515803462270682480,0.4780,1,0
102045467_NEG529760884271850076,0.9089,1,0
102045468_NEG534525411271636586,0.7954,1,0
102045468_NEG537581789271144818,1.1843,1,0
102045470_NEG546481364271947360,0.9016,1,0
102046111_NEG522631915266742195,0.6837,1,0
102046111_NEG524535231263409554,0.8420,1,0
102046111_NEG525674252262710433,1.1405,1,0
102046114_NEG537352034266671160,1.2398,1,0
102046759_NEG522096295262136465,1.2743,1,0
102157629_2659727733636823810,1.0546,1,0
102157630_2665772836637102014,1.9030,1,0
102157952_2658211530641487553,1.1219,1,0
102157952_2658616879639330994,0.8148,1,0
102157953_2668203348640973901,1.1063,1,0
102157953_2668288172639391107,0.7651,1,0
102157953_2669397021640472384,2.1056,1,0
102157953_2670994480641865653,1.6661,1,0
102157954_2677725526640039676,1.2182,1,0
102157955_2685490710638126805,1.0531,1,0
102157955_2689800257639551890,0.5562,1,0
102157956_2695046853638479184,1.5043,1,0
102157956_2700546205640397835,0.6348,1,0
102157957_2711813162637737494,3.4987,0,0
102157958_2719195933641972975,0.9110,1,0
102157958_2727137773639721420,0.7835,1,0
102158270_2654337786643538414,0.7577,1,0
102158270_2656382386643695481,0.5268,1,0
102158270_2656815066646473630,0.8272,1,0
102158270_2662527621645054682,1.4213,1,0
102158271_2672343829643151429,0.6421,1,0
102158272_2678087036644598709,0.4982,1,0
102158272_2683555203642954376,1.8864,1,0
102158272_2685730342643470690,0.7646,1,0
102158273_2697192667642722765,0.5788,1,0
102158274_2704723597642696271,0.8449,1,0
102158274_2706060111645234144,0.5062,1,0
102158275_2709777393645726835,1.0583,1,0
102158275_2713231622643632503,0.6121,1,0
102158276_2727435595645547639,0.8932,1,0
102158276_2727570223645896962,1.0280,1,0
102158277_2733524648645511387,0.5638,1,0
102158277_2738945549646397299,1.2551,1,0
102158582_2655753387652324244,0.6976,1,0
102158584_2687900321650859511,0.8035,1,0
102158584_2688054361648826754,0.6044,1,0
102158584_2688149271647967093,0.8447,1,0
102158585_2690666515648268601,1.0865,1,0
102158586_2710834800648486342,0.6004,1,0
102158589_2738592709648339236,1.0903,1,0
102158590_2749972211650622428,0.6668,1,0
102158886_2639435536653600933,0.4843,1,0
102158886_2641867744653343162,1.1059,1,0
102158887_2646461630654930628,1.4580,1,0
102158887_2654129070655512593,0.9697,1,0
102158887_2655306065654633189,0.6335,1,0
102158887_2655528906655835262,0.9989,1,0
102158888_2657819747657129186,1.4698,1,0
102158888_2659467460657407372,0.9928,1,0
102158888_2659753895653871052,0.9317,1,0
102158889_2677624236654538082,1.5943,1,0
102158890_2680242082656735280,0.9946,1,0
102158890_2683357136652678772,0.6393,1,0
102158891_2699896914654311553,1.3720,1,0
102158891_2700857611652676803,1.3363,1,0
102158892_2704470582654415692,2.5371,0,0
102158893_2720583810655664894,0.5920,1,0
102158894_2730612507653143373,1.7400,1,0
102158894_2733212462655784384,1.3116,1,0
102158896_2752149841653729649,1.4858,1,0
102158896_2755778332656876880,0.7522,1,0
102158896_2759717332653541075,0.5237,1,0
102158896_2760272555655712464,0.4282,0,0
102159186_2631794504660304436,1.0169,1,0
102159186_2632387939662408264,0.8190,1,0
102159189_2663231466659368059,1.2748,1,0
102159189_2667596748662187959,0.9069,1,0
102159189_2669674055661286334,1.1164,1,0
102159192_2695197869661844158,1.0234,1,0
102159192_2699004780662092340,0.9399,1,0
102159194_2723464956661228420,0.7146,1,0
102159195_2734094103661424333,1.0594,1,0
102159196_2750719383660442039,1.1024,1,0
102159481_2634849207665073829,0.7727,1,0
102159482_2642474434666614156,0.5261,1,0
102159485_2681289316665353959,1.2135,1,0
102159486_2691200739666476860,1.2734,1,0
102159486_2695397736666928563,1.9139,1,0
102159487_2702648437664620342,1.6283,1,0
102159488_2715904729665064695,1.3055,1,0
102159488_2717571775663564534,0.5276,1,0
102159489_2725731664662876609,0.5592,1,0
102159489_2728201578663264671,0.7268,1,0
102159489_2730705167663624037,1.0521,1,0
102159771_2645005552671976577,0.5815,1,0
102159772_2657244795670716163,1.5623,1,0
102159772_2662654897671699728,0.4829,1,0
102159773_2671366170672094055,0.5129,1,0
102159773_2677079122669151496,1.4367,1,0
102159776_2707047371671953097,0.7174,1,0
102159777_2716319161668542331,0.5097,1,0
102159778_2733418388668044661,1.3776,1,0
102159778_2735946368671378903,0.6241,1,0
102160055_2646891602674889078,0.9250,1,0
102160057_2669613885677463506,0.4763,1,0
102160058_2684023754674529862,1.1757,1,0
102160058_2689874038672725438,0.7463,1,0
102160058_2690177088672937227,0.2627,0,0
102160059_2697821071675011270,0.6086,1,0
102160060_2714236250676150798,0.6702,1,0
102160334_2661812445678287733,0.7129,1,0
102160334_2665945112680410578,0.6053,1,0
102160335_2680788986678866937,0.4780,1,0
102160335_2682061397679348286,0.6585,1,0
102160336_2694549514678142483,1.5184,1,0
102160336_2695945753681853613,0.9068,1,0
102160337_2700171490680496942,0.6793,1,0
102160337_2701254133678933511,0.7644,1,0
102160337_2702871940682411776,1.2326,1,0
102160337_2703837081680486960,1.0611,1,0
102160338_2720592793680584236,1.4022,1,0
102160340_2740784519677600444,0.8173,1,0
102160607_2684058176685650370,0.7706,1,0
102160607_2685509147685729039,0.5085,1,0
102160610_2725640304686403990,1.3550,1,0
102160610_2729256016684457774,0.4844,1,0
102160611_2740328687682808789,2.4551,0,0
102160612_2743600657683668805,0.5916,1,0
