i,name,theta_E_pub,off_center,defl_re_px,defl_re_as,n_field_comp,arc_coverage,n_knots,arc_radius_px,arc_defl_flux,arc_contrast,flag_off_center,flag_no_arc,flag_two_light,flag_theta_mismatch,flag_tiny_theta
0,102018665_NEG570040238507752998,0.849,2.9,11.5,0.574,0,0.583,3,15.0,0.292,20.6,0,0,0,0,0
1,102018665_NEG576731213511114485,1.05,0.5,7.6,0.382,3,0.625,5,17.2,0.0137,9.6,0,0,0,0,0
2,102018666_NEG579859279508531437,1.582,3.3,8.9,0.443,1,0.625,5,26.8,0.0511,12.0,0,0,0,0,0
3,102018667_NEG587746535508057234,0.88,1.0,9.9,0.494,1,0.5,2,17.7,0.1488,17.0,0,0,0,0,0
4,102018668_NEG595646727509469177,0.465,4.7,12.2,0.608,4,0.583,1,10.3,1.2263,75.9,0,0,0,0,0
5,102019123_NEG564667438505382529,1.657,0.9,10.8,0.54,1,0.542,4,27.7,0.0289,7.7,0,0,0,0,0
6,102019123_NEG567245233502945885,0.676,13.5,17.3,0.863,1,0.5,2,14.6,7.8256,410.5,0,0,0,0,0
7,102019126_NEG589666030505609975,0.601,0.7,9.1,0.455,3,0.75,2,12.8,0.1049,117.3,0,0,0,0,0
8,102019127_NEG596525941504553950,0.702,1.0,9.9,0.494,1,0.667,2,15.4,0.5134,37.5,0,0,0,0,0
9,102019127_NEG598523367504401932,1.403,0.2,10.4,0.522,1,0.583,4,27.9,0.3892,58.7,0,0,0,0,0
10,102019128_NEG607555025503027911,1.087,1.8,8.4,0.422,0,0.583,7,22.4,0.0479,18.6,0,0,0,0,0
11,102019128_NEG608928997504779012,0.713,1.3,10.3,0.515,1,0.75,2,15.7,0.4589,249.7,0,0,0,0,0
12,102019129_NEG617672661504204895,0.857,4.5,7.0,0.349,2,0.625,2,17.0,0.2448,113.8,0,0,0,0,0
13,102019131_NEG626148898503257561,1.09,0.9,11.6,0.58,1,0.875,4,23.4,0.262,43.9,0,0,0,0,0
14,102019586_NEG564463213499964061,1.159,1.2,9.9,0.493,1,0.667,2,22.7,0.1415,42.2,0,0,0,0,0
15,102019588_NEG576940500501085311,0.763,1.5,9.2,0.461,1,0.208,1,8.9,0.0174,7.1,0,0,0,1,0
16,102019588_NEG579781735502176069,0.755,5.9,12.3,0.617,1,0.625,4,15.0,0.5176,24.1,0,0,0,0,0
17,102019588_NEG581189290502362418,0.668,6.3,11.8,0.592,1,0.583,2,12.4,1.0745,23.6,0,0,0,0,0
18,102019591_NEG601417531499600002,2.186,1.6,9.4,0.469,0,0.292,3,42.6,0.0196,11.6,0,0,0,0,0
